"timeMillisSpent","score"
10980,"0hard/0medium/-232soft"
14569,"0hard/0medium/-232soft"
18273,"0hard/0medium/-232soft"
22131,"0hard/0medium/-240soft"
29463,"0hard/0medium/-232soft"
40762,"0hard/0medium/-230soft"
48015,"0hard/0medium/-230soft"
59078,"0hard/0medium/-230soft"
66558,"0hard/0medium/-230soft"
88930,"0hard/0medium/-239soft"
92676,"0hard/0medium/-240soft"
96337,"0hard/0medium/-240soft"
100045,"0hard/0medium/-240soft"
103632,"0hard/0medium/-240soft"
111107,"0hard/0medium/-231soft"
118380,"0hard/0medium/-231soft"
122176,"0hard/0medium/-237soft"
125917,"0hard/0medium/-237soft"
129613,"0hard/0medium/-237soft"
133212,"0hard/0medium/-231soft"
136866,"0hard/0medium/-231soft"
144347,"0hard/0medium/-241soft"
147962,"0hard/0medium/-241soft"
151509,"0hard/0medium/-241soft"
155139,"0hard/0medium/-231soft"
166050,"0hard/0medium/-241soft"
173355,"0hard/0medium/-241soft"
177026,"0hard/0medium/-241soft"
184634,"0hard/0medium/-241soft"
188488,"0hard/0medium/-241soft"
199466,"0hard/0medium/-241soft"
203294,"0hard/0medium/-241soft"
207011,"0hard/0medium/-237soft"
217849,"0hard/0medium/-237soft"
221499,"0hard/0medium/-237soft"
225121,"0hard/0medium/-237soft"
228841,"0hard/0medium/-237soft"
232490,"0hard/0medium/-237soft"
240027,"0hard/0medium/-232soft"
247420,"0hard/0medium/-239soft"
251160,"0hard/0medium/-239soft"
258375,"0hard/0medium/-231soft"
262131,"0hard/0medium/-231soft"
265821,"0hard/0medium/-231soft"
269440,"0hard/0medium/-240soft"
276777,"0hard/0medium/-240soft"
280463,"0hard/0medium/-240soft"
284184,"0hard/0medium/-240soft"
287942,"0hard/0medium/-240soft"
291637,"0hard/0medium/-231soft"
298969,"0hard/0medium/-231soft"
302666,"0hard/0medium/-230soft"
306351,"0hard/0medium/-230soft"
310200,"0hard/0medium/-240soft"
313809,"0hard/0medium/-230soft"
317570,"0hard/0medium/-239soft"
321239,"0hard/0medium/-239soft"
324807,"0hard/0medium/-239soft"
332408,"0hard/0medium/-239soft"
336023,"0hard/0medium/-239soft"
339694,"0hard/0medium/-232soft"
343320,"0hard/0medium/-232soft"
346968,"0hard/0medium/-232soft"
350639,"0hard/0medium/-232soft"
354300,"0hard/0medium/-232soft"
358121,"0hard/0medium/-232soft"
361946,"0hard/0medium/-232soft"
365682,"0hard/0medium/-240soft"
369292,"0hard/0medium/-241soft"
373010,"0hard/0medium/-241soft"
380293,"0hard/0medium/-241soft"
383981,"0hard/0medium/-241soft"
387676,"0hard/0medium/-241soft"
395228,"0hard/0medium/-241soft"
398906,"0hard/0medium/-241soft"
402657,"0hard/0medium/-232soft"
406293,"0hard/0medium/-232soft"
413836,"0hard/0medium/-232soft"
417541,"0hard/0medium/-232soft"
424984,"0hard/0medium/-232soft"
439801,"0hard/0medium/-237soft"
443667,"0hard/0medium/-232soft"
451019,"0hard/0medium/-232soft"
454550,"0hard/0medium/-240soft"
458318,"0hard/0medium/-240soft"
461923,"0hard/0medium/-240soft"
465599,"0hard/0medium/-240soft"
469214,"0hard/0medium/-240soft"
472924,"0hard/0medium/-240soft"
476557,"0hard/0medium/-239soft"
480171,"0hard/0medium/-239soft"
483808,"0hard/0medium/-239soft"
487532,"0hard/0medium/-241soft"
491256,"0hard/0medium/-241soft"
494953,"0hard/0medium/-239soft"
502308,"0hard/0medium/-239soft"
506090,"0hard/0medium/-231soft"
509704,"0hard/0medium/-230soft"
520706,"0hard/0medium/-230soft"
528133,"0hard/0medium/-239soft"
531709,"0hard/0medium/-239soft"
539009,"0hard/0medium/-239soft"
542702,"0hard/0medium/-239soft"
546517,"0hard/0medium/-239soft"
550249,"0hard/0medium/-239soft"
553871,"0hard/0medium/-239soft"
557474,"0hard/0medium/-231soft"
561071,"0hard/0medium/-240soft"
564686,"0hard/0medium/-240soft"
568218,"0hard/0medium/-230soft"
572006,"0hard/0medium/-237soft"
575687,"0hard/0medium/-237soft"
579314,"0hard/0medium/-232soft"
582865,"0hard/0medium/-237soft"
590389,"0hard/0medium/-230soft"
594123,"0hard/0medium/-241soft"
597805,"0hard/0medium/-237soft"
601431,"0hard/0medium/-250soft"
