"timeMillisSpent","score"
10952,"0hard/0medium/-232soft"
14660,"0hard/0medium/-232soft"
18490,"0hard/0medium/-232soft"
22230,"0hard/0medium/-240soft"
29550,"0hard/0medium/-232soft"
40640,"0hard/0medium/-230soft"
47889,"0hard/0medium/-230soft"
51548,"0hard/0medium/-230soft"
55154,"0hard/0medium/-232soft"
62586,"0hard/0medium/-230soft"
70065,"0hard/0medium/-232soft"
77481,"0hard/0medium/-230soft"
81139,"0hard/0medium/-230soft"
84970,"0hard/0medium/-231soft"
88771,"0hard/0medium/-231soft"
96078,"0hard/0medium/-231soft"
99740,"0hard/0medium/-231soft"
103340,"0hard/0medium/-237soft"
107099,"0hard/0medium/-240soft"
129037,"0hard/0medium/-240soft"
136089,"0hard/0medium/-232soft"
143589,"0hard/0medium/-232soft"
151084,"0hard/0medium/-239soft"
154726,"0hard/0medium/-239soft"
162117,"0hard/0medium/-239soft"
169352,"0hard/0medium/-239soft"
173008,"0hard/0medium/-231soft"
176682,"0hard/0medium/-231soft"
180294,"0hard/0medium/-231soft"
183886,"0hard/0medium/-231soft"
187587,"0hard/0medium/-231soft"
198658,"0hard/0medium/-237soft"
202256,"0hard/0medium/-232soft"
205995,"0hard/0medium/-232soft"
213403,"0hard/0medium/-232soft"
217025,"0hard/0medium/-241soft"
224326,"0hard/0medium/-241soft"
227951,"0hard/0medium/-241soft"
235377,"0hard/0medium/-241soft"
239263,"0hard/0medium/-241soft"
246438,"0hard/0medium/-237soft"
250088,"0hard/0medium/-237soft"
253800,"0hard/0medium/-232soft"
272262,"0hard/0medium/-232soft"
283516,"0hard/0medium/-237soft"
287225,"0hard/0medium/-237soft"
290995,"0hard/0medium/-237soft"
294738,"0hard/0medium/-237soft"
298602,"0hard/0medium/-241soft"
302217,"0hard/0medium/-241soft"
305916,"0hard/0medium/-241soft"
309599,"0hard/0medium/-239soft"
313225,"0hard/0medium/-237soft"
320859,"0hard/0medium/-237soft"
324357,"0hard/0medium/-237soft"
328082,"0hard/0medium/-241soft"
331751,"0hard/0medium/-241soft"
335435,"0hard/0medium/-239soft"
339128,"0hard/0medium/-230soft"
342968,"0hard/0medium/-239soft"
350240,"0hard/0medium/-239soft"
361128,"0hard/0medium/-239soft"
364940,"0hard/0medium/-241soft"
368640,"0hard/0medium/-241soft"
372403,"0hard/0medium/-239soft"
376245,"0hard/0medium/-232soft"
379964,"0hard/0medium/-240soft"
383455,"0hard/0medium/-240soft"
387138,"0hard/0medium/-240soft"
394573,"0hard/0medium/-240soft"
398363,"0hard/0medium/-232soft"
401888,"0hard/0medium/-232soft"
409500,"0hard/0medium/-231soft"
420704,"0hard/0medium/-230soft"
424474,"0hard/0medium/-230soft"
435379,"0hard/0medium/-232soft"
439015,"0hard/0medium/-230soft"
442688,"0hard/0medium/-232soft"
450063,"0hard/0medium/-232soft"
453676,"0hard/0medium/-232soft"
457518,"0hard/0medium/-230soft"
461180,"0hard/0medium/-230soft"
464862,"0hard/0medium/-232soft"
468595,"0hard/0medium/-232soft"
472183,"0hard/0medium/-232soft"
475976,"0hard/0medium/-230soft"
479683,"0hard/0medium/-231soft"
483261,"0hard/0medium/-231soft"
486959,"0hard/0medium/-231soft"
490543,"0hard/0medium/-231soft"
497909,"0hard/0medium/-230soft"
501524,"0hard/0medium/-230soft"
505245,"0hard/0medium/-230soft"
508942,"0hard/0medium/-230soft"
512555,"0hard/0medium/-230soft"
516242,"0hard/0medium/-230soft"
519955,"0hard/0medium/-232soft"
523725,"0hard/0medium/-239soft"
527589,"0hard/0medium/-231soft"
542573,"0hard/0medium/-239soft"
546297,"0hard/0medium/-239soft"
550088,"0hard/0medium/-231soft"
553737,"0hard/0medium/-231soft"
557415,"0hard/0medium/-240soft"
561076,"0hard/0medium/-240soft"
564966,"0hard/0medium/-231soft"
568541,"0hard/0medium/-240soft"
579620,"0hard/0medium/-240soft"
587019,"0hard/0medium/-240soft"
590685,"0hard/0medium/-240soft"
594320,"0hard/0medium/-231soft"
601537,"0hard/0medium/-231soft"
