"timeMillisSpent","calculateCountPerSecond"
3658,4
11197,0
15036,1
26173,0
37279,0
40944,0
48339,0
52048,0
55774,1
59348,0
63050,1
89012,0
96453,1
111248,0
114858,0
122208,0
133209,0
151615,0
158994,0
173642,0
177409,1
181098,0
184662,0
192023,1
195562,0
202929,0
206622,1
214113,0
221492,0
232687,0
247490,0
251204,3
254999,1
262412,0
273671,0
292136,0
296036,0
303276,0
310836,1
318146,0
321672,0
329146,0
332817,0
336441,1
354906,0
362204,0
366022,0
369662,1
377267,1
384677,1
388436,0
392145,1
395973,2
410888,0
414637,1
418358,1
422013,1
425743,0
436629,0
440287,1
447596,0
451140,0
458625,0
473398,0
480836,0
488339,0
491926,0
495606,0
499236,0
506674,0
517797,0
521415,0
525213,0
543944,0
551324,0
554975,0
562310,1
565929,0
569505,0
573260,0
584434,0
591863,1
599239,0
602863,3
