"timeMillisSpent","usedMemory","maxMemory"
3876,4563312,1834483712
14778,5528848,1834483712
18451,5529304,1834483712
22171,6012528,1834483712
25885,6495752,1834483712
29632,6496208,1834483712
33380,6979432,1834483712
37067,6981952,1834483712
44399,7464720,1834483712
48091,7939320,1834483712
51720,7939776,1834483712
77156,9859512,1834483712
88041,10825960,1834483712
95654,11309640,1834483712
103064,11795384,1834483712
110407,12752728,1834483712
121461,13244600,1834483712
125177,13719840,1834483712
132656,14203520,1834483712
147301,15163784,1834483712
158432,16130688,1834483712
162092,16131144,1834483712
165784,16614368,1834483712
187792,18107144,1834483712
191563,18598560,1834483712
198883,19082240,1834483712
202660,19084760,1834483712
213749,20050296,1834483712
217494,20533520,1834483712
228666,21025848,1834483712
235914,21511592,1834483712
239719,21994360,1834483712
243391,21994360,1834483712
247033,22468968,1834483712
250717,22952192,1834483712
261776,23436328,1834483712
276667,24404840,1834483712
284022,25370856,1834483712
291390,25862728,1834483712
295103,25863184,1834483712
298793,26354616,1834483712
302407,26357136,1834483712
309856,27314584,1834483712
313521,27314584,1834483712
335696,5596040,1834483712
339510,6079264,1834483712
343232,6079720,1834483712
350763,7037992,1834483712
358065,7531472,1834483712
365478,8006336,1834483712
369084,8006792,1834483712
376517,8490472,1834483712
380177,8973696,1834483712
387582,9459440,1834483712
394955,9936680,1834483712
402415,10419904,1834483712
406007,10919544,1834483712
416776,11403680,1834483712
427625,12364704,1834483712
431507,12847472,1834483712
435369,12847928,1834483712
439210,13331152,1834483712
443058,13331608,1834483712
450318,14306264,1834483712
454003,14308784,1834483712
457845,14783456,1834483712
461597,14783456,1834483712
468965,15258800,1834483712
476300,16233472,1834483712
480013,16233928,1834483712
483668,16717152,1834483712
487314,16719672,1834483712
491149,17202440,1834483712
494799,17202440,1834483712
498643,17685208,1834483712
509633,18652112,1834483712
513521,18652568,1834483712
517202,19135792,1834483712
528440,19621080,1834483712
532202,20096056,1834483712
535938,20571096,1834483712
543308,21054776,1834483712
554311,21540976,1834483712
557970,22015576,1834483712
565435,22514744,1834483712
572779,22998424,1834483712
576688,23481648,1834483712
580303,23482104,1834483712
587820,24442824,1834483712
591419,24442824,1834483712
595050,24917616,1834483712
598686,24917616,1834483712
602368,25392688,1834483712
