"timeMillisSpent","calculateCountPerSecond"
3788,3
11190,0
14876,1
18681,0
22533,0
26288,0
29933,0
33619,1
37485,0
41297,0
44935,0
48731,0
52340,0
56011,1
59732,0
63403,0
67122,1
70939,0
74650,0
78184,0
81944,0
85665,0
89315,0
92996,0
96730,0
100480,1
104156,1
107851,2
111549,0
115159,0
118928,0
122796,0
126619,1
130387,0
134049,0
137683,0
141394,1
145252,0
148985,2
152626,1
156295,0
159978,1
163808,1
167479,0
171105,0
174895,0
178568,0
182213,1
185929,2
189673,1
193438,1
197022,1
200756,1
204331,0
208136,0
211765,0
215397,0
219224,0
222972,0
226693,1
230347,0
234021,0
237776,0
241460,2
245075,0
248936,0
252625,0
256220,0
259935,0
263648,0
267346,0
271054,0
274756,0
278438,1
282142,0
286019,0
289715,2
293307,0
297006,0
300716,0
304496,0
308084,0
311794,0
315459,0
319127,1
322807,1
326396,1
330027,0
333646,0
337365,0
341012,0
344639,1
348282,0
351999,0
355844,1
359481,0
363107,0
366715,0
370360,0
374073,0
377721,0
381572,0
385302,1
389007,1
392754,0
396342,0
399906,0
403599,1
407289,0
410958,0
414642,0
418305,0
425633,1
429315,0
432835,0
436569,0
440351,0
444151,0
447825,0
451506,0
455215,0
458889,0
462513,0
466083,0
469903,1
473622,0
477262,0
481109,0
484796,0
488359,0
492007,0
499555,0
503300,0
506957,0
510595,0
514235,0
517878,0
521479,0
525231,0
529051,1
532743,1
536409,0
540160,0
543822,0
547666,0
551253,0
555029,0
558634,2
562392,1
569706,0
573472,0
577103,0
580787,0
584528,1
588172,1
592015,0
595779,0
599436,0
603198,0
