"timeMillisSpent","calculateCountPerSecond"
3612,4
14871,0
18560,0
29445,0
33205,0
40760,0
44424,0
48046,0
51775,0
55629,0
96296,0
99971,1
118389,0
122160,0
125829,1
129539,0
136916,1
140468,0
144153,0
151560,0
155347,1
162632,0
177337,1
181007,1
184739,0
192359,0
195957,0
199604,2
203298,0
207057,0
221888,0
225744,0
233097,0
240442,0
247835,0
255218,0
258826,0
273694,0
277446,0
281087,0
288476,0
292185,0
295868,0
306866,0
310629,0
321801,0
325531,0
329098,0
340327,0
343976,1
354850,0
358509,0
365736,0
373150,0
377013,0
380613,0
384284,0
391701,0
395493,0
402788,0
410132,0
413863,1
417500,0
421114,0
432475,0
436175,0
443576,0
451048,0
462156,0
465839,1
473302,0
477071,1
480788,0
484569,0
488282,0
495536,0
499191,1
502831,0
513840,0
524961,0
532403,0
536078,0
554505,0
558144,0
561799,0
565629,2
573033,0
576756,0
580377,0
587792,0
595164,0
602374,0
