"timeMillisSpent","usedMemory","maxMemory"
3585,5448456,1834483712
18343,6413504,1834483712
22039,6896256,1834483712
25675,7379008,1834483712
29239,7379464,1834483712
36666,7856872,1834483712
40349,8339168,1834483712
44147,8821464,1834483712
65863,10270744,1834483712
73314,10755560,1834483712
76790,11229696,1834483712
80371,11229696,1834483712
87799,11712904,1834483712
91479,12188424,1834483712
109782,13630952,1834483712
113480,13630952,1834483712
117296,14113704,1834483712
121194,14114160,1834483712
124887,14596912,1834483712
139555,15564936,1834483712
143409,16047232,1834483712
147164,16529528,1834483712
154472,17012736,1834483712
158156,17013192,1834483712
161803,17487784,1834483712
165499,17970536,1834483712
169099,17973056,1834483712
176488,18455352,1834483712
180224,18945856,1834483712
183906,18946312,1834483712
198549,20395024,1834483712
213489,21362136,1834483712
231752,22803184,1834483712
239022,23288000,1834483712
242639,23288000,1834483712
249870,24245096,1834483712
253519,24245552,1834483712
257251,24728304,1834483712
260907,24728760,1834483712
268233,25214032,1834483712
279270,26169000,1834483712
283043,26668168,1834483712
290332,27151376,1834483712
297895,27626448,1834483712
309038,28590720,1834483712
327679,5971072,1834483712
331479,6457144,1834483712
335252,6935264,1834483712
338955,6935720,1834483712
342631,7416264,1834483712
353887,7904856,1834483712
357701,8390472,1834483712
361360,8867904,1834483712
365032,8868360,1834483712
372474,9346808,1834483712
379696,9825152,1834483712
383349,10305152,1834483712
390605,10798960,1834483712
394270,11284576,1834483712
416312,12746240,1834483712
434587,14204000,1834483712
438256,14687232,1834483712
442110,14687688,1834483712
445702,15173760,1834483712
460254,16147512,1834483712
463927,16633584,1834483712
467561,16634040,1834483712
471234,17114584,1834483712
474907,17115040,1834483712
478554,17601112,1834483712
500598,19053216,1834483712
504286,19547480,1834483712
507939,19547936,1834483712
511662,20034008,1834483712
515325,20036528,1834483712
526258,20999968,1834483712
533651,21486496,1834483712
544746,22459096,1834483712
559370,23416488,1834483712
574097,24378720,1834483712
581623,24859304,1834483712
585356,25337768,1834483712
589151,25820544,1834483712
592792,25820544,1834483712
596491,26298752,1834483712
600101,26299208,1834483712
