"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
18343,1,8
22039,1,3
25675,1,4
29239,1,2
36666,1,6
40349,1,3
44147,1,5
65863,1,15
73314,1,2
76790,1,3
80371,1,2
87799,1,10
91479,1,1
109782,1,19
113480,1,1
117296,1,1
121194,1,3
124887,1,1
139555,1,23
143409,1,2
147164,1,6
154472,1,7
158156,1,3
161803,1,7
165499,1,2
169099,1,6
176488,1,3
180224,1,1
183906,1,2
198549,1,16
213489,1,8
231752,1,16
239022,1,6
242639,1,3
249870,1,8
253519,1,3
257251,1,10
260907,1,1
268233,1,2
279270,1,16
283043,1,1
290332,1,4
297895,1,4
309038,1,4
327679,1,16
331479,1,4
335252,1,2
338955,1,1
342631,1,1
353887,1,6
357701,1,2
361360,1,5
365032,1,6
372474,1,10
379696,1,5
383349,1,1
390606,1,9
394270,1,1
416312,1,35
434587,1,19
438256,1,3
442110,1,1
445702,1,3
460254,1,7
463927,1,2
467561,1,1
471234,1,1
474907,1,2
478554,1,1
500598,1,10
504286,1,4
507939,1,2
511662,1,7
515325,1,1
526258,1,6
533651,1,8
544746,1,6
559370,1,12
574097,1,16
581623,1,7
585356,1,4
589151,1,1
592792,1,1
596491,1,2
600101,0,5
