"timeMillisSpent","score"
18343,"0hard/0medium/-212soft"
22039,"0hard/0medium/-212soft"
25675,"0hard/0medium/-212soft"
29239,"0hard/0medium/-212soft"
36666,"0hard/0medium/-212soft"
40349,"0hard/0medium/-212soft"
44147,"0hard/0medium/-212soft"
65863,"0hard/0medium/-212soft"
73314,"0hard/0medium/-212soft"
76790,"0hard/0medium/-212soft"
80371,"0hard/0medium/-212soft"
87799,"0hard/0medium/-212soft"
91479,"0hard/0medium/-212soft"
109782,"0hard/0medium/-212soft"
113480,"0hard/0medium/-212soft"
117296,"0hard/0medium/-212soft"
121194,"0hard/0medium/-212soft"
124887,"0hard/0medium/-209soft"
139555,"0hard/0medium/-206soft"
143409,"0hard/0medium/-209soft"
147164,"0hard/0medium/-209soft"
154472,"0hard/0medium/-209soft"
158156,"0hard/0medium/-209soft"
161803,"0hard/0medium/-209soft"
165499,"0hard/0medium/-206soft"
169099,"0hard/0medium/-206soft"
176488,"0hard/0medium/-206soft"
180224,"0hard/0medium/-206soft"
183906,"0hard/0medium/-206soft"
198549,"0hard/0medium/-206soft"
213489,"0hard/0medium/-206soft"
231752,"0hard/0medium/-206soft"
239022,"0hard/0medium/-206soft"
242639,"0hard/0medium/-206soft"
249870,"0hard/0medium/-209soft"
253519,"0hard/0medium/-209soft"
257251,"0hard/0medium/-209soft"
260907,"0hard/0medium/-206soft"
268233,"0hard/0medium/-209soft"
279270,"0hard/0medium/-209soft"
283043,"0hard/0medium/-209soft"
290332,"0hard/0medium/-209soft"
297895,"0hard/0medium/-209soft"
309038,"0hard/0medium/-209soft"
327679,"0hard/0medium/-209soft"
331479,"0hard/0medium/-209soft"
335252,"0hard/0medium/-209soft"
338955,"0hard/0medium/-209soft"
342631,"0hard/0medium/-206soft"
353887,"0hard/0medium/-209soft"
357701,"0hard/0medium/-209soft"
361360,"0hard/0medium/-209soft"
365032,"0hard/0medium/-209soft"
372474,"0hard/0medium/-209soft"
379696,"0hard/0medium/-209soft"
383349,"0hard/0medium/-209soft"
390605,"0hard/0medium/-209soft"
394270,"0hard/0medium/-209soft"
416312,"0hard/0medium/-209soft"
434587,"0hard/0medium/-209soft"
438256,"0hard/0medium/-209soft"
442110,"0hard/0medium/-209soft"
445702,"0hard/0medium/-206soft"
460254,"0hard/0medium/-206soft"
463927,"0hard/0medium/-206soft"
467561,"0hard/0medium/-206soft"
471234,"0hard/0medium/-206soft"
474907,"0hard/0medium/-206soft"
478554,"0hard/0medium/-206soft"
500598,"0hard/0medium/-209soft"
504286,"0hard/0medium/-209soft"
507939,"0hard/0medium/-209soft"
511662,"0hard/0medium/-206soft"
515325,"0hard/0medium/-209soft"
526258,"0hard/0medium/-212soft"
533651,"0hard/0medium/-212soft"
544746,"0hard/0medium/-212soft"
559370,"0hard/0medium/-212soft"
574097,"0hard/0medium/-212soft"
581623,"0hard/0medium/-212soft"
585356,"0hard/0medium/-212soft"
589151,"0hard/0medium/-212soft"
592792,"0hard/0medium/-212soft"
596491,"0hard/0medium/-212soft"
600101,"0hard/0medium/-229soft"
