"timeMillisSpent","calculateCountPerSecond"
3691,4
14585,0
18285,0
29251,0
36622,0
40351,0
47551,0
80566,0
87805,0
95215,0
98878,0
102533,0
106135,0
109805,0
113480,0
124702,0
139461,1
143154,0
146777,0
150668,0
154316,1
169429,1
173073,0
180452,0
187818,0
191575,0
195258,0
210127,0
213835,0
239829,0
247100,2
254390,0
265518,0
269231,0
276335,1
280051,0
287575,0
291188,2
298469,0
305708,0
313063,0
320395,0
327752,0
335117,0
338972,1
346207,1
349887,0
353645,0
357331,0
360918,0
368279,1
371997,1
379325,0
383215,0
394351,0
401704,0
409026,1
412783,0
416381,1
423787,0
431010,0
441939,0
449124,0
452769,0
456532,0
471265,0
478638,0
482292,0
511602,0
518926,0
530051,0
541031,0
544724,1
548408,0
552069,0
555730,0
566945,0
570760,0
574581,0
585679,0
592998,0
600235,1
