"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
14641,1,5
18302,1,1
21937,1,5
25586,1,2
36723,1,6
40437,1,1
47939,1,4
51564,1,1
55298,1,1
62619,1,2
69898,1,2
77164,1,6
84774,1,12
92146,1,4
95815,1,1
103451,1,4
111048,1,3
114708,1,1
118237,1,1
121994,1,1
136654,1,14
144262,1,4
147874,1,11
158829,1,9
166198,1,2
173771,1,4
177478,1,1
181356,1,2
185013,1,1
188692,1,11
192321,1,1
195929,1,2
218039,1,13
225490,1,2
229307,1,1
233039,1,3
240368,1,10
243973,1,2
247658,1,3
262283,1,14
265979,1,2
276946,1,9
284205,1,6
287805,1,6
291408,1,1
298858,1,3
302595,1,1
306225,1,8
309886,1,1
317221,1,2
320868,1,2
328415,1,4
332014,1,1
335473,1,2
342830,1,9
346490,1,1
350158,1,4
353786,1,1
357504,1,1
361089,1,1
368535,1,3
375923,1,2
390740,1,5
398073,1,5
405264,1,5
408805,1,1
416145,1,4
419764,1,1
423490,1,2
427162,1,2
434522,1,10
445570,1,4
449231,1,1
452927,1,1
456806,1,1
460671,1,1
464320,1,1
467976,1,1
475439,1,2
482915,1,2
494039,1,10
497724,1,2
508774,1,6
516095,1,5
519839,1,1
523705,1,2
538478,1,7
549479,1,4
553259,1,1
556907,1,3
564396,1,4
567999,1,2
571752,1,5
575424,1,1
578998,1,4
586247,1,2
597094,1,6
600785,1,3
