"timeMillisSpent","calculateCountPerSecond"
3619,4
11074,0
14819,0
21868,0
29329,0
33063,0
55294,1
73663,0
81135,0
84756,0
88370,1
103201,0
106873,0
110593,0
114203,0
117804,3
121434,0
147575,0
155039,0
162335,0
166103,2
169728,1
177084,0
184436,0
191917,0
199334,0
206615,0
221484,0
228778,0
232472,0
247186,0
261970,0
276724,1
287759,0
291429,0
302492,0
310039,0
320951,0
324695,0
328319,0
346773,0
372338,0
375948,0
387009,0
401603,0
405200,0
416017,1
434638,0
441875,0
445514,0
449156,0
452803,0
456431,0
463751,0
482034,0
489298,1
493105,0
500410,0
504144,0
507814,0
518989,0
526443,1
537438,0
544643,0
548396,0
566711,0
570478,1
585347,0
589090,1
592728,0
600232,0
