"timeMillisSpent","usedMemory","maxMemory"
3619,5748864,1834483712
11074,6232104,1834483712
14819,6715344,1834483712
21868,7199496,1834483712
29329,7683648,1834483712
33063,8159288,1834483712
55294,9588552,1834483712
73663,11042160,1834483712
81135,11525400,1834483712
84756,11525856,1834483712
88370,12001392,1834483712
103201,12971760,1834483712
106873,13447136,1834483712
110593,13447136,1834483712
114203,13922496,1834483712
117804,14422592,1834483712
121434,14423048,1834483712
147575,16368104,1834483712
155039,16852256,1834483712
162335,17336408,1834483712
166103,17820104,1834483712
169728,17822624,1834483712
177084,18305864,1834483712
184436,19281144,1834483712
191917,19765296,1834483712
199334,20249448,1834483712
206615,20735208,1834483712
221484,21719000,1834483712
228778,22203152,1834483712
232472,22686848,1834483712
247186,23647960,1834483712
261970,24616264,1834483712
276724,25585720,1834483712
287759,26544928,1834483712
291429,27025792,1834483712
302492,27504600,1834483712
310039,27987840,1834483712
320951,5798296,1834483712
324695,5798296,1834483712
328319,6281536,1834483712
346773,7250112,1834483712
372338,9198136,1834483712
375948,9697792,1834483712
387009,10199544,1834483712
401603,11643568,1834483712
405200,11643568,1834483712
416017,12612144,1834483712
434638,14055784,1834483712
441875,14541120,1834483712
445514,14541120,1834483712
449156,15024360,1834483712
452803,15026456,1834483712
456431,15509696,1834483712
463751,15992936,1834483712
482034,17441320,1834483712
489298,17924560,1834483712
493105,18407800,1834483712
500410,18893136,1834483712
504144,18893136,1834483712
507814,19376376,1834483712
518989,19853736,1834483712
526443,20814520,1834483712
537438,21297760,1834483712
544643,21783096,1834483712
548396,22258152,1834483712
566711,23707136,1834483712
570478,23709232,1834483712
585347,25153256,1834483712
589090,25153256,1834483712
592728,25636496,1834483712
600232,26121832,1834483712
