"timeMillisSpent","usedMemory","maxMemory"
3642,5723088,1834483712
11174,6207088,1834483712
25827,7168608,1834483712
41080,8615880,1834483712
48631,9091744,1834483712
52276,9092200,1834483712
77881,11040856,1834483712
81543,11524856,1834483712
88769,12009768,1834483712
96076,12494680,1834483712
99743,12979136,1834483712
103408,12981656,1834483712
107150,13465656,1834483712
110847,13465656,1834483712
129555,14911312,1834483712
133371,15403960,1834483712
136982,15406480,1834483712
140617,15890480,1834483712
144236,15890480,1834483712
147890,16374480,1834483712
173717,18301960,1834483712
177535,18301960,1834483712
184985,18786416,1834483712
192315,19271328,1834483712
199575,20232448,1834483712
206919,20713440,1834483712
229526,22175472,1834483712
233181,22651744,1834483712
244144,23132736,1834483712
247829,23616736,1834483712
255252,24101648,1834483712
259035,24102104,1834483712
270312,25073792,1834483712
273971,25557792,1834483712
288711,26543120,1834483712
292397,27027576,1834483712
296247,27028032,1834483712
303810,27523200,1834483712
307467,28007200,1834483712
311065,28007200,1834483712
314756,28491200,1834483712
322073,5771728,1834483712
333075,6250200,1834483712
336883,6736296,1834483712
355120,8182232,1834483712
366151,8665496,1834483712
377202,9633496,1834483712
380848,9635592,1834483712
388229,10595544,1834483712
391963,10595544,1834483712
395645,11081640,1834483712
399397,11081640,1834483712
403047,11573848,1834483712
410419,12052072,1834483712
417709,12536072,1834483712
432382,13506168,1834483712
436142,14003752,1834483712
439706,14005848,1834483712
462231,15459944,1834483712
473499,16438264,1834483712
477145,16914240,1834483712
480840,16914240,1834483712
484419,17392472,1834483712
488223,17392472,1834483712
495646,17876472,1834483712
503059,18854776,1834483712
506716,18854776,1834483712
510423,19338776,1834483712
514128,19340872,1834483712
536123,21287160,1834483712
543784,21773256,1834483712
547467,21773256,1834483712
551176,22257256,1834483712
558350,22743352,1834483712
562076,23227352,1834483712
576738,24197448,1834483712
584262,24681448,1834483712
587823,24683544,1834483712
591725,25167544,1834483712
599120,25651544,1834483712
602834,26137640,1834483712
