"timeMillisSpent","calculateCountPerSecond"
9234,20
27480,0
36195,0
44951,0
54149,0
62871,0
80894,0
90112,0
98856,0
108095,0
116634,0
125945,0
135086,0
144344,0
153688,0
172323,0
181118,0
199585,0
208671,0
226671,0
235527,0
244729,0
272218,0
280939,0
289622,0
298764,0
308040,0
317293,0
326534,0
335763,0
345096,0
354305,0
363539,0
372783,0
381941,0
391286,0
400478,0
409647,0
427561,0
436729,0
445964,0
455140,0
473530,0
482836,0
491978,0
501351,0
510038,0
519339,0
528638,0
537903,0
547082,0
556313,0
564997,0
574167,0
583346,0
592252,0
601456,0
