"timeMillisSpent","usedMemory","maxMemory"
9234,18735736,1834483712
27480,20204888,1834483712
36195,20941616,1834483712
44951,21811928,1834483712
54149,22570568,1834483712
62871,23345192,1834483712
80894,24708488,1834483712
90112,25259584,1834483712
98856,25859592,1834483712
108095,26369784,1834483712
116634,26912344,1834483712
125945,27447096,1834483712
135086,27981760,1834483712
144344,28534008,1834483712
153688,29068368,1834483712
172323,30094984,1834483712
181118,30620984,1834483712
199585,31625664,1834483712
208671,32233288,1834483712
226671,33287720,1834483712
235527,33848392,1834483712
244729,34352888,1834483712
272218,35826744,1834483712
280939,4268584,1834483712
289622,4670096,1834483712
298764,5267232,1834483712
308040,5947696,1834483712
317293,6246256,1834483712
326534,6959904,1834483712
335763,7258464,1834483712
345096,7971728,1834483712
354305,8577056,1834483712
363539,8892032,1834483712
372783,9613904,1834483712
381941,10211024,1834483712
391286,10526000,1834483712
400478,11133400,1834483712
409647,11781248,1834483712
427561,12794464,1834483712
436729,13109440,1834483712
445964,13791056,1834483712
455140,14081752,1834483712
473530,15325208,1834483712
482836,15623768,1834483712
491978,16337032,1834483712
501351,16635936,1834483712
510038,17233360,1834483712
519339,17873000,1834483712
528638,18165072,1834483712
537903,18894736,1834483712
547082,19199760,1834483712
556313,19789192,1834483712
564997,20470656,1834483712
574167,21067776,1834483712
583346,21366336,1834483712
592252,22020912,1834483712
601456,22317728,1834483712
