"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
27480,1,1
36195,1,1
44951,1,3
54149,1,2
62871,1,2
80894,1,2
90112,1,2
98856,1,2
108095,1,2
116634,1,1
125945,1,2
135086,1,1
144344,1,1
153688,1,2
172323,1,3
181118,1,1
199585,1,2
208671,1,1
226671,1,5
235527,1,1
244729,1,1
272218,1,3
280939,1,2
289622,1,2
298764,1,2
308040,1,1
317293,1,1
326534,1,1
335763,1,1
345096,1,1
354305,1,3
363539,1,2
372783,1,2
381941,1,2
391286,1,1
400478,1,1
409647,1,3
427561,1,2
436729,1,1
445964,1,1
455140,1,1
473530,1,3
482836,1,1
491978,1,1
501351,1,1
510038,1,1
519339,1,1
528638,1,1
537903,1,1
547082,1,2
556313,1,1
564997,1,1
574167,1,3
583346,1,1
592252,1,1
601456,0,1
