"timeMillisSpent","score"
27480,"0hard/0medium/-406soft"
36195,"0hard/0medium/-405soft"
44951,"0hard/0medium/-405soft"
54149,"0hard/0medium/-387soft"
62871,"0hard/0medium/-387soft"
80894,"0hard/0medium/-387soft"
90112,"0hard/0medium/-387soft"
98856,"0hard/0medium/-387soft"
108095,"0hard/0medium/-396soft"
116634,"0hard/0medium/-396soft"
125945,"0hard/0medium/-396soft"
135086,"0hard/0medium/-396soft"
144344,"0hard/0medium/-396soft"
153688,"0hard/0medium/-396soft"
172323,"0hard/0medium/-385soft"
181118,"0hard/0medium/-385soft"
199585,"0hard/0medium/-384soft"
208671,"0hard/0medium/-384soft"
226671,"0hard/0medium/-396soft"
235527,"0hard/0medium/-396soft"
244729,"0hard/0medium/-396soft"
272218,"0hard/0medium/-396soft"
280939,"0hard/0medium/-396soft"
289622,"0hard/0medium/-396soft"
298764,"0hard/0medium/-396soft"
308040,"0hard/0medium/-396soft"
317293,"0hard/0medium/-396soft"
326534,"0hard/0medium/-396soft"
335763,"0hard/0medium/-396soft"
345096,"0hard/0medium/-396soft"
354305,"0hard/0medium/-396soft"
363539,"0hard/0medium/-396soft"
372783,"0hard/0medium/-396soft"
381941,"0hard/0medium/-392soft"
391286,"0hard/0medium/-392soft"
400478,"0hard/0medium/-392soft"
409647,"0hard/0medium/-392soft"
427561,"0hard/0medium/-392soft"
436729,"0hard/0medium/-392soft"
445964,"0hard/0medium/-392soft"
455140,"0hard/0medium/-392soft"
473530,"0hard/0medium/-392soft"
482836,"0hard/0medium/-392soft"
491978,"0hard/0medium/-392soft"
501351,"0hard/0medium/-392soft"
510038,"0hard/0medium/-392soft"
519339,"0hard/0medium/-389soft"
528638,"0hard/0medium/-389soft"
537903,"0hard/0medium/-389soft"
547082,"0hard/0medium/-389soft"
556313,"0hard/0medium/-389soft"
564997,"0hard/0medium/-389soft"
574167,"0hard/0medium/-389soft"
583346,"0hard/0medium/-389soft"
592252,"0hard/0medium/-389soft"
601456,"0hard/0medium/-481soft"
