"timeMillisSpent","score"
3,"-1hard/0medium/-2147483647soft"
4230,"0hard/-1medium/-404soft"
8595,"0hard/-1medium/-358soft"
12889,"0hard/-1medium/-404soft"
17283,"0hard/-1medium/-404soft"
21688,"0hard/-1medium/-404soft"
26213,"0hard/-1medium/-386soft"
30600,"0hard/-1medium/-386soft"
35039,"0hard/-1medium/-386soft"
39337,"0hard/-2medium/-398soft"
43630,"0hard/-2medium/-398soft"
48135,"0hard/-2medium/-398soft"
52550,"0hard/-2medium/-398soft"
56962,"0hard/-4medium/-453soft"
61309,"0hard/-4medium/-453soft"
65668,"0hard/-2medium/-398soft"
70100,"0hard/-2medium/-398soft"
74298,"0hard/-4medium/-467soft"
78682,"0hard/-4medium/-467soft"
83012,"0hard/-3medium/-402soft"
87548,"0hard/-3medium/-402soft"
91968,"0hard/-3medium/-402soft"
96518,"0hard/-3medium/-402soft"
100912,"0hard/-1medium/-386soft"
105190,"0hard/-1medium/-386soft"
109570,"0hard/-1medium/-386soft"
113905,"0hard/-1medium/-386soft"
118465,"0hard/-1medium/-404soft"
122805,"0hard/-1medium/-404soft"
127149,"0hard/-1medium/-418soft"
131547,"0hard/-1medium/-404soft"
135879,"0hard/-1medium/-396soft"
140234,"0hard/-2medium/-396soft"
144554,"0hard/-1medium/-396soft"
149103,"0hard/-1medium/-396soft"
153443,"0hard/-1medium/-396soft"
157987,"0hard/-1medium/-396soft"
162278,"0hard/0medium/-331soft"
162278,"-1hard/0medium/-2147483647soft"
162278,"-1hard/0medium/-2147483647soft"
162279,"-1hard/0medium/-2147483647soft"
166806,"0hard/0medium/-345soft"
171058,"0hard/0medium/-345soft"
175399,"0hard/0medium/-345soft"
179894,"0hard/-1medium/-402soft"
184285,"0hard/-2medium/-400soft"
188670,"0hard/-2medium/-400soft"
193004,"0hard/-2medium/-388soft"
197395,"0hard/-6medium/-389soft"
201943,"0hard/-6medium/-389soft"
206322,"0hard/-4medium/-446soft"
210902,"0hard/-4medium/-446soft"
215489,"0hard/-4medium/-458soft"
219879,"0hard/-4medium/-458soft"
224259,"0hard/-4medium/-479soft"
228588,"0hard/-4medium/-479soft"
233073,"0hard/-4medium/-479soft"
237623,"0hard/-7medium/-536soft"
241928,"0hard/-7medium/-536soft"
246267,"0hard/-7medium/-536soft"
250627,"0hard/-7medium/-536soft"
254932,"0hard/-7medium/-536soft"
259214,"0hard/-7medium/-536soft"
263536,"0hard/-7medium/-536soft"
267763,"0hard/-7medium/-541soft"
272115,"0hard/-7medium/-541soft"
276692,"0hard/-4medium/-474soft"
281090,"0hard/-4medium/-474soft"
285606,"0hard/-4medium/-474soft"
290095,"0hard/-6medium/-408soft"
294512,"0hard/-6medium/-408soft"
298842,"0hard/-6medium/-388soft"
303130,"0hard/-3medium/-388soft"
307865,"0hard/0medium/-320soft"
312374,"0hard/0medium/-320soft"
316607,"0hard/0medium/-320soft"
320933,"0hard/0medium/-353soft"
325328,"0hard/0medium/-353soft"
325328,"-1hard/0medium/-2147483647soft"
325328,"-1hard/0medium/-2147483647soft"
325329,"-1hard/0medium/-2147483647soft"
325329,"-1hard/0medium/-2147483647soft"
329598,"0hard/0medium/-338soft"
333888,"0hard/-3medium/-407soft"
338259,"0hard/-3medium/-407soft"
342657,"0hard/-3medium/-407soft"
346982,"0hard/-6medium/-407soft"
351365,"0hard/-6medium/-407soft"
355814,"0hard/-6medium/-407soft"
360263,"0hard/-3medium/-402soft"
364831,"0hard/-3medium/-402soft"
369242,"0hard/-3medium/-402soft"
373680,"0hard/-3medium/-402soft"
378288,"0hard/-3medium/-402soft"
382633,"0hard/-3medium/-402soft"
387038,"0hard/-3medium/-402soft"
391562,"0hard/-3medium/-402soft"
395917,"0hard/-3medium/-402soft"
400305,"0hard/-3medium/-402soft"
404852,"0hard/-3medium/-402soft"
409151,"0hard/-3medium/-414soft"
413539,"0hard/-6medium/-409soft"
417774,"0hard/-2medium/-406soft"
422061,"0hard/-2medium/-406soft"
426361,"0hard/-2medium/-406soft"
430768,"0hard/-2medium/-406soft"
435325,"0hard/-2medium/-406soft"
439818,"0hard/-2medium/-406soft"
444267,"0hard/-2medium/-406soft"
448671,"0hard/-2medium/-406soft"
453199,"0hard/-2medium/-406soft"
457754,"0hard/-4medium/-477soft"
462168,"0hard/-6medium/-409soft"
466610,"0hard/-6medium/-409soft"
471027,"0hard/-6medium/-409soft"
475447,"0hard/-3medium/-409soft"
479976,"0hard/-1medium/-385soft"
484538,"0hard/-1medium/-385soft"
488910,"0hard/-1medium/-385soft"
493279,"0hard/-1medium/-385soft"
497669,"0hard/-1medium/-385soft"
501961,"0hard/-4medium/-455soft"
506317,"0hard/-7medium/-523soft"
510625,"0hard/-7medium/-523soft"
515149,"0hard/-4medium/-454soft"
519652,"0hard/-1medium/-387soft"
524115,"0hard/-1medium/-387soft"
528688,"0hard/-1medium/-398soft"
533089,"0hard/-4medium/-466soft"
537659,"0hard/-4medium/-455soft"
542181,"0hard/-4medium/-455soft"
546508,"0hard/-4medium/-455soft"
550973,"0hard/-2medium/-387soft"
555398,"0hard/-2medium/-387soft"
559935,"0hard/-4medium/-437soft"
564241,"0hard/-4medium/-445soft"
568460,"0hard/-4medium/-445soft"
572821,"0hard/-4medium/-445soft"
577235,"0hard/-4medium/-445soft"
581643,"0hard/-4medium/-445soft"
585917,"0hard/-4medium/-445soft"
590226,"0hard/-1medium/-376soft"
594505,"0hard/-1medium/-376soft"
598888,"0hard/-1medium/-407soft"
603195,"0hard/-4medium/-472soft"
