"timeMillisSpent","calculateCountPerSecond"
4505,11
9074,0
13486,0
17810,0
21996,0
26460,0
30880,0
35321,0
39750,0
44328,0
48692,0
53005,1
57551,0
61885,0
66191,0
70426,0
74785,0
79108,0
83462,0
88009,0
92308,1
96832,0
101423,0
105798,0
110401,0
114824,0
119181,0
123587,0
128013,1
132310,0
136564,0
140964,0
145199,0
149538,0
153827,0
158197,0
162555,0
162555,1000
166877,2
171220,1
175456,0
179816,0
184129,0
188523,0
193157,0
197493,0
201899,0
206231,0
210648,0
215226,1
219411,0
223660,0
227950,0
232320,0
236918,0
241308,0
245782,0
250310,0
254666,0
259179,0
263546,0
267965,0
272241,1
276670,0
281262,1
285756,0
290135,0
294442,1
298833,0
303186,0
307546,0
311931,0
316377,0
320543,0
324906,0
324906,1000
329518,2
334069,0
338540,0
342956,0
347351,0
351816,0
356212,0
360515,0
364865,0
369238,0
373503,0
377898,0
382297,0
386501,0
390829,0
395245,0
399877,1
404279,0
408755,0
413079,0
417634,0
421816,0
426119,0
430525,0
435034,0
439431,0
443783,1
448178,0
452572,1
456840,0
461366,0
465869,0
470404,0
474646,0
478976,0
483551,0
488078,0
492636,0
497093,0
501493,0
505969,0
510390,0
514737,0
519151,0
523676,0
528099,0
532610,0
536901,0
541148,0
545710,0
550074,0
554543,0
558910,0
563294,0
567592,0
572039,0
576590,0
580831,0
585186,0
589546,0
593918,0
598177,1
602729,0
