"timeMillisSpent","calculateCountPerSecond"
4515,11
9095,0
13460,0
17813,0
22230,0
26480,0
30949,0
35348,0
39911,0
44239,0
48446,0
52684,1
57021,0
61537,0
65945,0
70501,0
74870,0
79213,0
83830,0
88086,0
92497,1
96814,0
101206,0
105513,0
109810,0
114125,0
118654,0
123101,0
127428,1
131986,0
136352,0
140876,0
145294,0
149669,0
154198,0
158578,0
162755,0
162755,1000
167178,2
171437,1
175689,0
179949,0
184241,0
188513,0
192767,0
197123,0
201601,0
206119,0
210682,0
215021,1
219566,0
223856,0
228270,0
232670,0
236973,0
241501,0
245856,0
250306,0
254813,0
259181,0
263453,0
267631,0
271939,1
276400,0
280955,1
285331,0
289932,0
294544,1
298834,0
303274,0
307515,0
312028,0
316256,0
320569,0
324943,0
324944,1000
329340,2
333735,0
338082,0
342428,0
346781,0
351131,0
355398,0
359965,0
364365,0
368820,0
373219,0
377612,0
382007,0
386254,0
390558,0
394820,0
399145,1
403453,0
407799,0
412063,0
416426,0
420821,0
425184,0
429495,0
433885,0
438444,0
442946,1
447313,0
451554,1
455972,0
460538,0
464904,0
469329,0
473721,0
478272,0
482651,0
487211,0
491402,0
495782,0
500201,0
504599,0
509158,0
513459,0
517713,0
522083,0
526657,0
531024,0
535480,0
539934,0
544336,0
548743,0
553381,0
557776,0
562126,0
566523,0
570937,0
575311,0
579730,0
584000,0
588384,0
592823,0
597170,1
601522,0
