"timeMillisSpent","usedMemory","maxMemory"
4377,32674192,1834483712
8917,32674192,1834483712
13123,33935416,1834483712
17626,33935416,1834483712
22054,33935872,1834483712
26525,33936328,1834483712
30959,35198008,1834483712
35346,35198464,1834483712
39877,35198920,1834483712
44278,35201440,1834483712
48499,36454528,1834483712
57377,36454528,1834483712
61886,36454984,1834483712
66187,36455440,1834483712
70531,37713024,1834483712
75064,37713480,1834483712
79465,37713936,1834483712
83807,37716456,1834483712
88156,38977680,1834483712
92706,38977680,1834483712
97228,38977680,1834483712
101656,38978136,1834483712
105925,40231944,1834483712
110335,40232400,1834483712
114736,40232856,1834483712
123472,41489152,1834483712
127692,41489152,1834483712
132066,41489152,1834483712
136467,41489152,1834483712
145068,42751288,1834483712
149400,42751744,1834483712
153805,42752200,1834483712
158182,44022072,1834483712
162486,44024592,1834483712
167102,44024592,1834483712
171490,44024592,1834483712
175911,45285816,1834483712
180215,45286272,1834483712
184623,45286728,1834483712
189011,45287184,1834483712
193360,45287640,1834483712
197745,46541248,1834483712
202167,46543768,1834483712
206649,46543768,1834483712
210930,46543768,1834483712
215335,47804992,1834483712
219615,47805448,1834483712
223970,47805904,1834483712
228372,47806360,1834483712
232799,49059856,1834483712
237174,49060312,1834483712
241707,49062832,1834483712
246250,49062832,1834483712
263847,50324968,1834483712
268170,51586648,1834483712
272495,51587104,1834483712
276844,51587560,1834483712
281142,51590080,1834483712
285537,52859496,1834483712
289791,52859496,1834483712
294101,52859496,1834483712
303112,54121632,1834483712
307506,54122088,1834483712
312131,54122544,1834483712
316492,54123000,1834483712
320858,55382464,1834483712
325229,55382464,1834483712
329523,55382464,1834483712
334180,55382464,1834483712
338599,56644144,1834483712
342991,56644600,1834483712
347428,56645056,1834483712
351858,56645512,1834483712
356202,56645968,1834483712
365150,57901992,1834483712
369484,57901992,1834483712
373798,57901992,1834483712
378069,59163672,1834483712
382461,59164128,1834483712
386872,59164584,1834483712
391189,59165040,1834483712
395576,60418560,1834483712
399931,60421080,1834483712
404204,60421080,1834483712
408747,60421080,1834483712
413060,61682304,1834483712
417362,61682760,1834483712
421529,61683216,1834483712
425978,61683672,1834483712
430489,62938120,1834483712
434999,62938576,1834483712
439439,62941096,1834483712
443902,62941096,1834483712
448183,64198040,1834483712
452557,64198040,1834483712
465758,64199408,1834483712
470258,65452904,1834483712
474663,65453360,1834483712
479221,65455880,1834483712
483789,65455880,1834483712
488261,66717104,1834483712
497008,66717560,1834483712
501435,66718016,1834483712
505816,5824504,1834483712
510185,5824504,1834483712
527845,7065248,1834483712
536735,7066160,1834483712
541145,8313256,1834483712
550051,8315776,1834483712
554388,8315776,1834483712
558775,8315776,1834483712
563131,9546744,1834483712
567488,9547200,1834483712
571846,9547656,1834483712
576128,9548112,1834483712
580695,10778848,1834483712
598454,12019816,1834483712
602773,12020272,1834483712
