"timeMillisSpent","usedMemory","maxMemory"
4309,5263584,1834483712
8803,6505920,1834483712
13214,6505920,1834483712
17742,6505920,1834483712
22053,6506376,1834483712
26440,7740976,1834483712
30932,7741432,1834483712
35269,7741888,1834483712
39571,7742344,1834483712
44018,7744864,1834483712
48633,8971216,1834483712
52956,8971216,1834483712
57376,8971216,1834483712
61804,8971672,1834483712
66329,10202176,1834483712
70605,10202632,1834483712
75045,10203088,1834483712
79429,10203544,1834483712
83774,11432416,1834483712
88050,11432416,1834483712
92497,11432416,1834483712
96863,12666560,1834483712
101360,12667016,1834483712
105784,12667472,1834483712
110172,12667928,1834483712
114389,12668384,1834483712
118808,13902984,1834483712
123207,13905504,1834483712
127543,13905504,1834483712
131904,13905504,1834483712
136445,15131480,1834483712
140770,15131936,1834483712
145314,15132392,1834483712
149708,15132848,1834483712
154002,16359256,1834483712
158411,16359712,1834483712
162763,16362232,1834483712
162763,16362232,1834483712
167114,17589144,1834483712
171632,17589144,1834483712
176008,17589144,1834483712
180586,17589600,1834483712
185141,18816968,1834483712
189465,18817424,1834483712
194037,18817880,1834483712
198585,18818336,1834483712
202997,20063192,1834483712
207335,20063192,1834483712
211769,20063192,1834483712
216081,20063192,1834483712
220589,21305984,1834483712
225035,21306440,1834483712
229386,21306896,1834483712
233961,21307352,1834483712
238230,22541952,1834483712
242618,22544472,1834483712
247171,22544472,1834483712
251536,22544472,1834483712
255923,23778616,1834483712
260366,23779072,1834483712
264727,23779528,1834483712
269095,23779984,1834483712
273541,25014584,1834483712
278114,25015040,1834483712
282449,25017560,1834483712
287009,25017560,1834483712
291561,26253088,1834483712
295855,26253088,1834483712
300181,26253544,1834483712
304723,26254000,1834483712
309245,27484320,1834483712
313755,27484776,1834483712
318078,27485232,1834483712
322317,27487752,1834483712
326665,28730088,1834483712
326665,28730088,1834483712
331002,28730088,1834483712
335330,28730088,1834483712
339773,28730544,1834483712
344054,29965144,1834483712
348579,29965600,1834483712
353085,29966056,1834483712
357424,29966512,1834483712
361820,31203176,1834483712
366062,31203176,1834483712
370279,31203176,1834483712
374641,31203176,1834483712
378957,32437776,1834483712
383253,32438232,1834483712
387821,32438688,1834483712
392251,32439144,1834483712
396486,33673744,1834483712
400846,33676264,1834483712
405363,33676264,1834483712
409910,33676264,1834483712
414253,34910408,1834483712
418585,34910864,1834483712
422786,34911320,1834483712
426949,34911776,1834483712
431110,36146376,1834483712
435466,36146832,1834483712
439834,36149352,1834483712
444163,36149352,1834483712
448486,37383496,1834483712
452902,37383496,1834483712
457130,37383952,1834483712
461351,37384408,1834483712
465674,38619008,1834483712
469987,38619464,1834483712
474385,38619920,1834483712
478927,38622440,1834483712
483340,39848416,1834483712
487661,39848416,1834483712
492109,39848416,1834483712
496493,39848872,1834483712
500846,41079192,1834483712
505206,41079648,1834483712
509679,41080104,1834483712
514217,41080560,1834483712
518490,42317224,1834483712
522884,42317224,1834483712
527068,42317224,1834483712
531304,42317224,1834483712
535806,43551824,1834483712
540204,43552280,1834483712
544618,43552736,1834483712
548991,43553192,1834483712
553518,43553648,1834483712
558035,44782136,1834483712
562294,44782136,1834483712
566624,44782136,1834483712
570976,44782136,1834483712
575315,46008728,1834483712
579689,46009184,1834483712
583931,46009640,1834483712
588350,46010096,1834483712
592899,47244696,1834483712
597412,47247216,1834483712
601660,47247216,1834483712
