"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
5,1,2
4309,1,1
8803,1,2
13214,1,2
17742,1,2
22053,1,1
26440,1,1
30932,1,1
35269,1,4
39571,1,1
44018,1,1
48633,1,2
52956,1,5
57376,1,1
61804,1,2
66329,1,3
70605,1,2
75045,1,4
79429,1,1
83774,1,2
88050,1,1
92497,1,6
96863,1,4
101360,1,2
105784,1,1
110172,1,2
114389,1,1
118808,1,1
123207,1,2
127543,1,5
131904,1,2
136445,1,4
140770,1,1
145314,1,4
149708,1,4
154002,1,4
158411,1,1
162763,1,3
162763,1,1
162763,1,4
162764,1,3
167114,1,2
171632,1,5
176008,1,3
180586,1,1
185141,1,1
189465,1,1
194037,1,1
198585,1,1
202997,1,1
207335,1,1
211769,1,1
216081,1,8
220589,1,1
225035,1,1
229386,1,2
233961,1,1
238230,1,2
242618,1,4
247171,1,3
251536,1,4
255923,1,1
260366,1,3
264727,1,2
269095,1,1
273541,1,5
278114,1,2
282449,1,7
287010,1,4
291561,1,1
295855,1,5
300181,1,1
304723,1,3
309245,1,2
313755,1,2
318078,1,1
322317,1,1
326665,1,1
326665,1,1
326665,1,4
326665,1,1
326666,1,5
331002,1,3
335330,1,3
339773,1,1
344054,1,1
348579,1,4
353085,1,2
357424,1,1
361820,1,1
366062,1,2
370279,1,1
374641,1,1
378957,1,2
383253,1,2
387821,1,1
392251,1,1
396486,1,3
400846,1,7
405363,1,1
409910,1,2
414253,1,1
418586,1,2
422786,1,2
426949,1,4
431110,1,2
435466,1,4
439834,1,2
444163,1,5
448486,1,2
452902,1,6
457130,1,3
461351,1,2
465674,1,1
469987,1,2
474385,1,2
478927,1,4
483340,1,1
487661,1,1
492109,1,2
496493,1,1
500846,1,2
505206,1,1
509679,1,1
514217,1,2
518490,1,1
522884,1,2
527068,1,2
531304,1,1
535806,1,3
540204,1,2
544618,1,1
548991,1,1
553518,1,3
558035,1,1
562294,1,1
566624,1,1
570976,1,1
575315,1,1
579689,1,1
583931,1,2
588350,1,1
592899,1,1
597412,1,7
601660,1,1
