"timeMillisSpent","usedMemory","maxMemory"
4247,5018088,1834483712
8664,6219736,1834483712
13066,6219736,1834483712
17649,6219736,1834483712
22177,6220192,1834483712
26581,7418016,1834483712
30953,7418472,1834483712
35323,7418928,1834483712
39679,7419384,1834483712
43948,8619272,1834483712
48383,8619272,1834483712
52695,8619272,1834483712
56942,8619272,1834483712
61280,9813240,1834483712
65658,9813696,1834483712
70086,9814152,1834483712
74454,9814608,1834483712
79034,11016712,1834483712
83587,11019232,1834483712
87911,11019232,1834483712
92467,11019232,1834483712
96778,12220880,1834483712
101209,12221336,1834483712
105588,12221792,1834483712
109928,12222248,1834483712
114525,13416480,1834483712
119068,13416936,1834483712
123420,13419456,1834483712
127833,13419456,1834483712
132252,14621104,1834483712
136548,14621104,1834483712
140826,14621560,1834483712
145156,14622016,1834483712
149514,15815928,1834483712
153899,15816384,1834483712
158371,15816840,1834483712
162567,17021008,1834483712
162568,17021008,1834483712
166884,17021008,1834483712
171106,17021008,1834483712
175372,17021008,1834483712
179943,18223112,1834483712
184369,18223568,1834483712
188615,18224024,1834483712
193040,18224480,1834483712
197395,19426584,1834483712
201712,19429104,1834483712
206031,19429104,1834483712
210627,19429104,1834483712
215098,20630752,1834483712
219312,20631208,1834483712
223731,20631664,1834483712
228231,20632120,1834483712
232512,21834224,1834483712
236915,21834680,1834483712
241468,21837200,1834483712
245854,21837200,1834483712
250351,23038848,1834483712
254688,23038848,1834483712
258945,23039304,1834483712
263487,23039760,1834483712
267830,24241864,1834483712
272197,24242320,1834483712
276601,24242776,1834483712
280908,25438912,1834483712
285443,25438912,1834483712
289808,25438912,1834483712
294143,25438912,1834483712
298533,26649208,1834483712
302743,26649664,1834483712
307074,26650120,1834483712
311386,26650576,1834483712
315738,27854064,1834483712
320108,27856584,1834483712
324372,27856584,1834483712
324372,27856584,1834483712
328710,27856584,1834483712
333123,29050216,1834483712
337318,29050672,1834483712
341593,29051128,1834483712
345975,29051584,1834483712
350592,30245496,1834483712
354985,30245952,1834483712
359377,30248472,1834483712
363917,30248472,1834483712
368362,31442104,1834483712
372899,31442104,1834483712
377192,31442560,1834483712
381518,31443016,1834483712
385779,32645120,1834483712
390169,32645576,1834483712
394485,32646032,1834483712
398969,33842008,1834483712
403549,33842008,1834483712
407960,33842008,1834483712
412207,33842008,1834483712
416596,33842464,1834483712
420992,35036896,1834483712
425314,35037352,1834483712
429671,35037808,1834483712
434271,36248104,1834483712
438577,36250624,1834483712
442995,36250624,1834483712
447516,36250624,1834483712
451752,37452272,1834483712
456122,37452728,1834483712
460481,37453184,1834483712
464783,37453640,1834483712
469233,38655744,1834483712
473650,38656200,1834483712
478073,38658720,1834483712
482368,38658720,1834483712
486680,39860368,1834483712
491115,39860368,1834483712
495704,39860824,1834483712
500100,39861280,1834483712
504479,41056040,1834483712
508859,41056496,1834483712
513115,41056952,1834483712
517439,41059472,1834483712
521965,42261120,1834483712
526340,42261120,1834483712
530795,42261120,1834483712
535209,42261576,1834483712
539548,43456336,1834483712
543853,43456792,1834483712
548370,43457248,1834483712
552762,43457704,1834483712
557089,44661872,1834483712
561402,44661872,1834483712
565992,44661872,1834483712
570401,44661872,1834483712
574780,45863976,1834483712
579116,45864432,1834483712
583566,45864888,1834483712
588165,45865344,1834483712
592667,47063168,1834483712
597136,47065688,1834483712
601470,47065688,1834483712
