"timeMillisSpent","calculateCountPerSecond"
4449,247
8876,0
13396,0
17758,2
22106,0
26671,0
30992,0
35330,0
39671,0
44048,1
48428,0
57276,0
61673,0
66031,0
70607,0
75171,0
79543,0
83903,0
88201,0
92726,0
97287,1
101776,0
106155,0
110541,0
115051,0
123806,0
128079,0
132260,1
136618,0
145046,0
149446,0
153981,0
158585,0
163085,0
167695,0
172191,0
176569,0
180971,0
185555,0
189903,0
194471,0
198824,0
203208,0
207551,0
211903,1
216327,0
220739,0
225114,0
229488,0
233932,1
238370,0
242643,0
247024,0
264584,0
268860,0
273137,0
277700,0
282085,0
286496,0
290808,0
295131,0
304127,0
308655,1
313074,0
317498,0
321752,0
326140,0
330465,0
334857,0
339484,0
344046,0
348472,0
352872,0
357142,0
365687,0
369885,1
374394,0
378824,0
383224,1
387532,1
391885,0
396302,0
400864,0
405172,0
409601,0
414141,0
418516,0
423032,0
427496,0
431882,0
436257,0
440864,0
445156,0
449693,0
453924,0
467117,0
471644,0
476140,0
480371,0
484874,0
489260,0
498155,0
502508,0
506870,0
511167,0
529309,0
538206,0
542810,0
551522,0
555877,0
560187,0
564564,0
568945,0
573260,0
577757,0
582159,0
600065,0
