"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
3,1,2
4536,1,1
8868,1,2
13392,1,2
18000,1,2
22386,1,1
26795,1,1
30935,1,1
35304,1,4
39715,1,1
44030,1,1
48544,1,2
53054,1,5
57576,1,1
61783,1,2
66106,1,3
70470,1,2
75074,1,4
79471,1,1
83802,1,2
88144,1,1
92687,1,6
97023,1,4
101542,1,2
105876,1,1
110287,1,2
114681,1,1
119135,1,1
123302,1,2
127559,1,5
131962,1,2
136252,1,4
140667,1,1
144847,1,4
149173,1,4
153575,1,4
157932,1,1
162336,1,3
162337,1,1
162337,1,4
162338,1,3
166848,1,2
171217,1,5
175513,1,3
179822,1,1
184234,1,1
188634,1,1
193171,1,1
197513,1,1
202064,1,1
206483,1,1
211060,1,1
215602,1,8
220045,1,1
224448,1,1
228673,1,2
233193,1,1
237587,1,2
242117,1,4
246548,1,3
251063,1,4
255387,1,1
259931,1,3
264273,1,2
268704,1,1
272978,1,5
277481,1,2
281771,1,7
286055,1,4
290639,1,1
295150,1,5
299559,1,1
303996,1,3
308426,1,2
312866,1,2
317198,1,1
321774,1,1
326123,1,1
326123,1,1
326123,1,4
326123,1,1
326123,1,5
330547,1,3
334829,1,3
339330,1,1
343619,1,1
348073,1,4
352654,1,2
357062,1,1
361506,1,1
365882,1,2
370307,1,1
374549,1,1
378851,1,2
383262,1,2
387728,1,1
392300,1,1
396707,1,3
401237,1,7
405780,1,1
410279,1,2
414603,1,1
419005,1,2
423469,1,2
428001,1,4
432231,1,2
436514,1,4
440846,1,2
445204,1,5
449600,1,2
454007,1,6
458414,1,3
462879,1,2
467248,1,1
471643,1,2
476053,1,2
480675,1,4
484967,1,1
489520,1,1
493864,1,2
498432,1,1
502804,1,2
507120,1,1
511663,1,1
516047,1,2
520458,1,1
524841,1,2
529391,1,2
533702,1,1
538101,1,3
542494,1,2
546899,1,1
551402,1,1
555755,1,3
560278,1,1
564655,1,1
568872,1,1
573440,1,1
577814,1,1
582369,1,1
586764,1,2
590993,1,1
595520,1,1
599890,1,7
604475,1,1
