"timeMillisSpent","score"
3,"-1hard/0medium/-2147483647soft"
4536,"0hard/-1medium/-404soft"
8868,"0hard/-1medium/-358soft"
13392,"0hard/-1medium/-404soft"
18000,"0hard/-1medium/-404soft"
22386,"0hard/-1medium/-404soft"
26795,"0hard/-1medium/-386soft"
30935,"0hard/-1medium/-386soft"
35304,"0hard/-1medium/-386soft"
39715,"0hard/-2medium/-398soft"
44030,"0hard/-2medium/-398soft"
48544,"0hard/-2medium/-398soft"
53054,"0hard/-2medium/-398soft"
57576,"0hard/-4medium/-453soft"
61783,"0hard/-4medium/-453soft"
66106,"0hard/-2medium/-398soft"
70470,"0hard/-2medium/-398soft"
75074,"0hard/-4medium/-467soft"
79471,"0hard/-4medium/-467soft"
83802,"0hard/-3medium/-402soft"
88144,"0hard/-3medium/-402soft"
92687,"0hard/-3medium/-402soft"
97023,"0hard/-3medium/-402soft"
101542,"0hard/-1medium/-386soft"
105876,"0hard/-1medium/-386soft"
110287,"0hard/-1medium/-386soft"
114681,"0hard/-1medium/-386soft"
119135,"0hard/-1medium/-404soft"
123302,"0hard/-1medium/-404soft"
127559,"0hard/-1medium/-418soft"
131962,"0hard/-1medium/-404soft"
136252,"0hard/-1medium/-396soft"
140667,"0hard/-2medium/-396soft"
144847,"0hard/-1medium/-396soft"
149173,"0hard/-1medium/-396soft"
153575,"0hard/-1medium/-396soft"
157932,"0hard/-1medium/-396soft"
162336,"0hard/0medium/-331soft"
162337,"-1hard/0medium/-2147483647soft"
162337,"-1hard/0medium/-2147483647soft"
162338,"-1hard/0medium/-2147483647soft"
166848,"0hard/0medium/-345soft"
171217,"0hard/0medium/-345soft"
175513,"0hard/0medium/-345soft"
179822,"0hard/-1medium/-402soft"
184234,"0hard/-2medium/-400soft"
188634,"0hard/-2medium/-400soft"
193171,"0hard/-2medium/-388soft"
197513,"0hard/-6medium/-389soft"
202064,"0hard/-6medium/-389soft"
206483,"0hard/-4medium/-446soft"
211060,"0hard/-4medium/-446soft"
215602,"0hard/-4medium/-458soft"
220045,"0hard/-4medium/-458soft"
224448,"0hard/-4medium/-479soft"
228673,"0hard/-4medium/-479soft"
233193,"0hard/-4medium/-479soft"
237587,"0hard/-7medium/-536soft"
242117,"0hard/-7medium/-536soft"
246548,"0hard/-7medium/-536soft"
251063,"0hard/-7medium/-536soft"
255387,"0hard/-7medium/-536soft"
259931,"0hard/-7medium/-536soft"
264274,"0hard/-7medium/-536soft"
268704,"0hard/-7medium/-541soft"
272978,"0hard/-7medium/-541soft"
277481,"0hard/-4medium/-474soft"
281771,"0hard/-4medium/-474soft"
286055,"0hard/-4medium/-474soft"
290639,"0hard/-6medium/-408soft"
295150,"0hard/-6medium/-408soft"
299559,"0hard/-6medium/-388soft"
303996,"0hard/-3medium/-388soft"
308426,"0hard/0medium/-320soft"
312866,"0hard/0medium/-320soft"
317198,"0hard/0medium/-320soft"
321774,"0hard/0medium/-353soft"
326123,"0hard/0medium/-353soft"
326123,"-1hard/0medium/-2147483647soft"
326123,"-1hard/0medium/-2147483647soft"
326123,"-1hard/0medium/-2147483647soft"
326123,"-1hard/0medium/-2147483647soft"
330547,"0hard/0medium/-338soft"
334829,"0hard/-3medium/-407soft"
339330,"0hard/-3medium/-407soft"
343619,"0hard/-3medium/-407soft"
348073,"0hard/-6medium/-407soft"
352654,"0hard/-6medium/-407soft"
357062,"0hard/-6medium/-407soft"
361506,"0hard/-3medium/-402soft"
365882,"0hard/-3medium/-402soft"
370307,"0hard/-3medium/-402soft"
374549,"0hard/-3medium/-402soft"
378851,"0hard/-3medium/-402soft"
383262,"0hard/-3medium/-402soft"
387728,"0hard/-3medium/-402soft"
392300,"0hard/-3medium/-402soft"
396707,"0hard/-3medium/-402soft"
401237,"0hard/-3medium/-402soft"
405780,"0hard/-3medium/-402soft"
410279,"0hard/-3medium/-414soft"
414603,"0hard/-6medium/-409soft"
419005,"0hard/-2medium/-406soft"
423469,"0hard/-2medium/-406soft"
428001,"0hard/-2medium/-406soft"
432231,"0hard/-2medium/-406soft"
436514,"0hard/-2medium/-406soft"
440846,"0hard/-2medium/-406soft"
445204,"0hard/-2medium/-406soft"
449600,"0hard/-2medium/-406soft"
454007,"0hard/-2medium/-406soft"
458414,"0hard/-4medium/-477soft"
462879,"0hard/-6medium/-409soft"
467248,"0hard/-6medium/-409soft"
471643,"0hard/-6medium/-409soft"
476053,"0hard/-3medium/-409soft"
480675,"0hard/-1medium/-385soft"
484967,"0hard/-1medium/-385soft"
489520,"0hard/-1medium/-385soft"
493864,"0hard/-1medium/-385soft"
498432,"0hard/-1medium/-385soft"
502804,"0hard/-4medium/-455soft"
507120,"0hard/-7medium/-523soft"
511663,"0hard/-7medium/-523soft"
516047,"0hard/-4medium/-454soft"
520458,"0hard/-1medium/-387soft"
524841,"0hard/-1medium/-387soft"
529391,"0hard/-1medium/-398soft"
533702,"0hard/-4medium/-466soft"
538101,"0hard/-4medium/-455soft"
542494,"0hard/-4medium/-455soft"
546899,"0hard/-4medium/-455soft"
551402,"0hard/-2medium/-387soft"
555755,"0hard/-2medium/-387soft"
560278,"0hard/-4medium/-437soft"
564655,"0hard/-4medium/-445soft"
568872,"0hard/-4medium/-445soft"
573440,"0hard/-4medium/-445soft"
577814,"0hard/-4medium/-445soft"
582369,"0hard/-4medium/-445soft"
586764,"0hard/-4medium/-445soft"
590993,"0hard/-1medium/-376soft"
595520,"0hard/-1medium/-376soft"
599890,"0hard/-1medium/-407soft"
604475,"0hard/-4medium/-472soft"
