"timeMillisSpent","score"
27323,"0hard/0medium/-975soft"
50071,"0hard/0medium/-970soft"
73141,"0hard/0medium/-970soft"
78822,"0hard/0medium/-970soft"
96064,"0hard/0medium/-970soft"
107496,"0hard/0medium/-970soft"
141723,"0hard/0medium/-970soft"
170475,"0hard/0medium/-970soft"
187398,"0hard/0medium/-969soft"
204604,"0hard/0medium/-969soft"
244523,"0hard/0medium/-970soft"
267469,"0hard/0medium/-970soft"
318913,"0hard/0medium/-975soft"
335704,"0hard/0medium/-975soft"
375690,"0hard/0medium/-975soft"
640437,"0hard/-1medium/-975soft"
