"timeMillisSpent","usedMemory","maxMemory"
5584,5791896,1834483712
28339,6968776,1834483712
51122,8145544,1834483712
73973,9322360,1834483712
85568,10499272,1834483712
91280,10499272,1834483712
102610,11091752,1834483712
108240,11676048,1834483712
119553,12268528,1834483712
130893,12853104,1834483712
187629,16416648,1834483712
204594,17609800,1834483712
262098,20583328,1834483712
323452,22945944,1834483712
334819,23538424,1834483712
351869,24715360,1834483712
363407,25307840,1834483712
374740,26485752,1834483712
409392,28246872,1834483712
420680,28831240,1834483712
426448,29423720,1834483712
449426,30600504,1834483712
466506,31778928,1834483712
472148,31800352,1834483712
477958,32392832,1834483712
512286,34178584,1834483712
523796,34763808,1834483712
529500,35346600,1834483712
540862,4000824,1834483712
569338,5839608,1834483712
586468,7081864,1834483712
603476,7692544,1834483712
