"timeMillisSpent","score"
28339,"0hard/0medium/-1007soft"
51122,"0hard/0medium/-1007soft"
73973,"0hard/0medium/-1007soft"
85568,"0hard/0medium/-885soft"
91280,"0hard/0medium/-885soft"
102610,"0hard/0medium/-885soft"
108240,"0hard/0medium/-885soft"
119553,"0hard/0medium/-885soft"
130893,"0hard/0medium/-885soft"
187629,"0hard/0medium/-885soft"
204594,"0hard/0medium/-935soft"
262098,"0hard/0medium/-935soft"
323452,"0hard/0medium/-935soft"
334819,"0hard/0medium/-935soft"
351869,"0hard/0medium/-935soft"
363407,"0hard/0medium/-935soft"
374740,"0hard/0medium/-869soft"
409392,"0hard/0medium/-869soft"
420680,"0hard/0medium/-877soft"
426448,"0hard/0medium/-877soft"
449426,"0hard/0medium/-877soft"
466506,"0hard/0medium/-877soft"
472148,"0hard/0medium/-877soft"
477958,"0hard/0medium/-877soft"
512286,"0hard/0medium/-1007soft"
523796,"0hard/0medium/-1007soft"
529500,"0hard/0medium/-1007soft"
540862,"0hard/0medium/-1007soft"
569338,"0hard/0medium/-1007soft"
586468,"0hard/0medium/-1007soft"
603476,"0hard/0medium/-1007soft"
