"timeMillisSpent","usedMemory","maxMemory"
5852,5492928,1834483712
28099,6762112,1834483712
50522,8641352,1834483712
73456,9901568,1834483712
84802,10537072,1834483712
90519,10544104,1834483712
101993,11178696,1834483712
107767,11805600,1834483712
119126,12440192,1834483712
130582,13074784,1834483712
188289,16865720,1834483712
205048,17525000,1834483712
260960,20699024,1834483712
300028,23221272,1834483712
311382,23855864,1834483712
328226,25149736,1834483712
339640,25785240,1834483712
351306,26426864,1834483712
385623,28322480,1834483712
396995,28954824,1834483712
402697,29589416,1834483712
425754,30859512,1834483712
443080,31494488,1834483712
448815,32120888,1834483712
454581,32755480,1834483712
488935,34665296,1834483712
499752,35299888,1834483712
505404,35300344,1834483712
516895,4145344,1834483712
545707,6073176,1834483712
562775,6716536,1834483712
579647,7996832,1834483712
585472,8001832,1834483712
602503,9288552,1834483712
