"timeMillisSpent","calculateCountPerSecond"
4419,11
8948,0
13266,0
17728,0
22205,0
26535,0
31018,0
35407,0
39657,0
43861,0
48305,0
52491,1
56794,0
61020,0
65226,0
69544,0
73976,0
78323,0
82825,0
87180,0
91635,1
95911,0
100258,0
104612,0
108919,0
113263,0
117784,0
122121,0
126507,1
131045,0
135220,0
139498,0
143851,0
147999,0
152314,0
156441,0
160734,0
160734,1000
165028,2
169280,1
173584,0
177903,0
182149,0
186416,0
190725,0
195130,0
199540,0
203740,0
208071,0
212410,1
216932,0
221493,0
225775,0
230049,0
234344,0
238590,0
242932,0
247459,0
251722,0
256026,0
260384,0
264882,0
269190,1
273380,0
277887,1
282121,0
286581,0
290812,1
295180,0
299477,0
303968,0
308279,0
312778,0
317079,0
321401,0
321401,1000
325590,3
329972,0
334480,0
338700,0
343260,0
347800,0
352089,0
356618,0
360903,0
365234,0
369536,0
373805,0
378277,0
382407,0
386607,0
390951,0
395172,1
399493,0
404031,0
408299,0
412839,0
417331,0
421877,0
426184,0
430413,0
434620,0
439097,1
443416,0
447708,1
452020,0
456363,0
460549,0
464840,0
469130,0
473479,0
477820,0
482180,0
486730,0
490993,0
495303,0
499510,0
504009,0
508278,0
512609,0
516941,0
521216,0
525418,0
529733,0
534024,0
538317,0
542520,0
546822,0
551071,0
555234,0
559560,0
563908,0
568199,0
572424,0
576687,0
581048,0
585355,0
589703,1
594101,0
598370,0
602848,0
