"timeMillisSpent","calculateCountPerSecond"
4369,252
8629,0
12982,0
17296,2
21500,0
25847,0
30057,0
34345,0
38721,0
43022,1
47261,0
56066,0
60499,0
64761,0
69168,0
73465,0
77869,0
82224,0
86711,0
95450,0
104303,0
108608,0
112879,0
121454,0
125911,0
130248,0
134616,1
138959,0
143264,0
147557,0
151795,0
156266,0
160571,0
164825,0
169372,0
178113,0
182368,0
186643,0
190939,0
195278,0
199637,0
203958,0
212524,0
216780,0
220969,0
225284,0
229607,0
238382,0
242855,1
247209,0
255953,0
260241,0
268888,0
273170,0
277379,0
281592,0
285808,0
290071,0
298794,0
303127,0
307646,0
316170,0
320497,0
324817,0
329092,0
333435,0
337957,0
342263,0
346612,0
350863,0
355383,1
359772,0
364271,1
368618,0
372971,0
377364,0
381716,0
385991,0
394616,0
398894,0
403165,0
411771,0
416055,0
420217,0
424429,0
428924,0
437700,0
441920,0
446224,0
450709,0
455043,0
459373,0
463766,0
468053,0
472547,0
477064,0
481364,0
485620,0
494247,0
498443,0
502736,0
507255,0
511606,0
524634,0
528911,0
533147,0
537480,0
546281,0
559295,0
563628,0
567907,0
576488,0
585160,0
589437,0
593798,0
602555,0
