"timeMillisSpent","usedMemory","maxMemory"
4510,4496000,1834483712
8871,4496000,1834483712
13138,5044672,1834483712
17643,5601472,1834483712
22177,5601928,1834483712
26438,6159184,1834483712
30703,6159640,1834483712
35247,6716896,1834483712
39746,6717352,1834483712
44065,7276672,1834483712
48319,7276672,1834483712
52647,7833472,1834483712
56938,7833472,1834483712
61173,8382544,1834483712
65451,8939800,1834483712
69973,8940256,1834483712
74231,9497512,1834483712
78431,9497968,1834483712
82740,10057288,1834483712
87006,10057288,1834483712
91515,10614088,1834483712
95703,10614088,1834483712
100060,11163152,1834483712
104417,11720408,1834483712
108651,11720864,1834483712
113195,12279584,1834483712
117557,12280040,1834483712
122093,12839360,1834483712
126334,12839360,1834483712
130591,13388288,1834483712
134855,13388288,1834483712
139107,13937472,1834483712
143462,14494728,1834483712
147776,14495184,1834483712
152337,15052440,1834483712
156685,15052896,1834483712
160957,15605832,1834483712
160958,15605832,1834483712
165435,16162632,1834483712
169951,16162632,1834483712
174186,16719432,1834483712
178548,16719888,1834483712
182959,17277144,1834483712
187334,17277600,1834483712
191919,17834856,1834483712
196195,17835312,1834483712
200486,18386472,1834483712
204704,18943272,1834483712
209281,18943272,1834483712
213558,19491976,1834483712
217983,19492432,1834483712
222360,20049688,1834483712
226696,20050144,1834483712
230940,20607400,1834483712
235122,20607856,1834483712
239674,21159104,1834483712
243969,21715904,1834483712
248356,21715904,1834483712
252734,22268424,1834483712
257180,22268880,1834483712
261498,22826136,1834483712
265759,22826592,1834483712
270061,23375760,1834483712
274595,23376216,1834483712
278887,23931440,1834483712
283264,24488240,1834483712
287680,24488240,1834483712
291919,25045040,1834483712
296255,25045496,1834483712
300621,25602752,1834483712
305048,26151872,1834483712
309347,26152328,1834483712
313628,26725984,1834483712
318195,26728504,1834483712
322526,27285304,1834483712
322527,27285304,1834483712
326807,27842104,1834483712
331346,27842104,1834483712
335876,28407552,1834483712
340064,28408008,1834483712
344309,28965264,1834483712
348866,28965720,1834483712
353139,29522976,1834483712
357510,29525496,1834483712
361863,30074624,1834483712
366119,30074624,1834483712
370635,30623536,1834483712
374908,30623992,1834483712
379145,3875800,1834483712
383595,4422264,1834483712
387927,4422264,1834483712
392150,4968728,1834483712
396456,4969184,1834483712
400980,5516104,1834483712
405330,5516560,1834483712
409790,6063480,1834483712
414283,6610400,1834483712
418635,6612920,1834483712
423121,7159384,1834483712
427364,7159384,1834483712
431742,7705848,1834483712
436092,7706304,1834483712
440391,8245040,1834483712
444685,8791960,1834483712
449174,8792416,1834483712
453476,9339336,1834483712
457731,9341856,1834483712
461877,9888320,1834483712
466112,9888320,1834483712
470276,10426616,1834483712
474672,10989936,1834483712
479239,10990392,1834483712
483603,11538776,1834483712
488014,11539232,1834483712
492208,12078288,1834483712
496552,12080808,1834483712
500974,12619400,1834483712
505314,12619400,1834483712
509697,13165864,1834483712
514003,13166320,1834483712
518282,13705056,1834483712
522546,14260168,1834483712
526740,14260624,1834483712
531038,14807544,1834483712
535369,14810064,1834483712
539643,15348680,1834483712
543897,15348680,1834483712
548257,15895144,1834483712
552470,15895600,1834483712
557003,16434328,1834483712
561410,16981248,1834483712
565700,16981704,1834483712
569941,17530088,1834483712
574275,17532608,1834483712
578499,18071208,1834483712
582915,18071208,1834483712
587289,18609552,1834483712
591807,18610008,1834483712
596167,19148736,1834483712
600432,19695656,1834483712
