"timeMillisSpent","usedMemory","maxMemory"
4339,4387304,1834483712
8843,4876344,1834483712
13375,5365384,1834483712
17606,5365384,1834483712
21950,5854880,1834483712
26477,5855336,1834483712
30676,6344832,1834483712
34959,6835808,1834483712
39312,6836264,1834483712
43521,7327824,1834483712
48017,7808704,1834483712
52381,7808704,1834483712
56739,8297744,1834483712
61301,8298200,1834483712
65428,8779528,1834483712
69751,9269024,1834483712
74035,9269480,1834483712
78290,9758976,1834483712
82547,10250536,1834483712
86880,10250536,1834483712
91201,10739576,1834483712
95502,11228616,1834483712
99683,11229072,1834483712
104117,11718568,1834483712
108360,11719024,1834483712
112588,12208520,1834483712
116891,12714416,1834483712
121425,12716936,1834483712
125700,13205976,1834483712
129853,13695016,1834483712
134258,13695016,1834483712
138775,14184512,1834483712
142974,14184968,1834483712
147306,14666304,1834483712
151546,15155800,1834483712
156028,15156256,1834483712
160415,15639920,1834483712
160415,15639920,1834483712
164666,16128960,1834483712
168893,16626192,1834483712
173201,16626192,1834483712
177412,17107840,1834483712
181770,17108296,1834483712
186017,17590000,1834483712
190278,18080976,1834483712
194565,18081432,1834483712
198927,18564832,1834483712
203368,18564832,1834483712
207812,19049776,1834483712
212366,19538816,1834483712
216753,19539272,1834483712
221131,20020736,1834483712
225446,20511712,1834483712
229915,20512168,1834483712
234134,21001664,1834483712
238468,21509640,1834483712
242964,21509640,1834483712
247256,21998680,1834483712
251646,21998680,1834483712
255921,22479984,1834483712
260099,22969480,1834483712
264379,22969936,1834483712
268689,23451536,1834483712
273066,23942512,1834483712
277417,23945032,1834483712
281637,24425880,1834483712
286159,24916400,1834483712
290487,24916400,1834483712
294807,25405896,1834483712
299015,25911792,1834483712
303333,25912248,1834483712
307535,26401744,1834483712
311680,26402200,1834483712
316165,26885688,1834483712
320619,27058112,1834483712
320619,27058112,1834483712
324894,3850232,1834483712
329243,4339272,1834483712
333500,4828312,1834483712
337832,4828312,1834483712
342287,5317808,1834483712
346771,5318264,1834483712
351086,5803664,1834483712
355371,6288880,1834483712
359659,6289336,1834483712
363926,6780896,1834483712
368468,7269936,1834483712
372766,7269936,1834483712
377081,7758976,1834483712
381336,7759432,1834483712
385653,8248928,1834483712
389921,8754824,1834483712
394195,8755280,1834483712
398440,9244776,1834483712
402756,9736336,1834483712
406984,9736336,1834483712
411223,10225376,1834483712
415520,10225376,1834483712
419955,10706912,1834483712
424306,11197888,1834483712
428598,11198344,1834483712
432781,11679856,1834483712
437196,12169352,1834483712
441373,12171872,1834483712
445839,12660912,1834483712
450362,13166352,1834483712
454673,13166352,1834483712
458867,13664056,1834483712
463094,13664512,1834483712
467439,14146048,1834483712
471972,14635544,1834483712
476252,14636000,1834483712
480757,15127560,1834483712
485107,15616600,1834483712
489625,15616600,1834483712
493999,16105640,1834483712
498282,16106096,1834483712
502645,16595592,1834483712
507017,17085088,1834483712
511348,17085544,1834483712
515564,17567696,1834483712
519874,17570216,1834483712
524288,18051184,1834483712
528777,18540224,1834483712
533210,18540224,1834483712
537477,19029720,1834483712
541982,19519216,1834483712
546293,19519672,1834483712
550595,20009168,1834483712
554827,20009624,1834483712
559118,20501184,1834483712
563383,20982112,1834483712
567889,20982112,1834483712
572090,21471152,1834483712
576307,21471608,1834483712
580577,21953208,1834483712
585075,22450896,1834483712
589278,22451352,1834483712
593584,22940848,1834483712
597977,23432408,1834483712
602234,23432408,1834483712
