"timeMillisSpent","usedMemory","maxMemory"
4548,8904440,1834483712
8703,8904440,1834483712
17305,9916160,1834483712
21653,9916616,1834483712
26143,10427024,1834483712
30323,10427480,1834483712
38792,11440160,1834483712
43200,11442680,1834483712
47421,11952632,1834483712
51716,12462584,1834483712
56005,12462584,1834483712
60390,12965088,1834483712
64781,12965544,1834483712
69056,13475952,1834483712
73364,13986360,1834483712
86459,14491104,1834483712
90928,14994680,1834483712
95255,15504632,1834483712
99677,15505088,1834483712
108215,16015952,1834483712
112607,16526360,1834483712
116974,17036768,1834483712
121442,17039288,1834483712
125901,17549240,1834483712
130109,17549240,1834483712
134389,18059192,1834483712
138715,18569600,1834483712
142990,18570056,1834483712
147143,19080464,1834483712
151398,19080920,1834483712
155617,19583320,1834483712
159965,20095792,1834483712
164325,20095792,1834483712
168766,20598512,1834483712
173059,20598512,1834483712
177558,21108920,1834483712
182081,21109376,1834483712
186352,21611600,1834483712
190712,22123488,1834483712
199263,22636416,1834483712
203561,22636416,1834483712
207947,23138184,1834483712
212166,23648136,1834483712
216471,23648592,1834483712
220736,24151488,1834483712
225026,24670088,1834483712
229304,24670544,1834483712
233535,25180952,1834483712
237844,25183472,1834483712
242241,25693424,1834483712
246479,26203376,1834483712
250833,26203376,1834483712
255023,26713784,1834483712
263803,27224648,1834483712
268192,27225104,1834483712
272474,27727320,1834483712
276774,28231752,1834483712
281191,28231752,1834483712
285715,28484296,1834483712
289992,4196096,1834483712
294493,4196096,1834483712
303362,5188408,1834483712
312013,5680736,1834483712
316334,6172504,1834483712
320713,6172960,1834483712
325053,6672912,1834483712
329455,6675432,1834483712
333792,7174928,1834483712
338005,7674424,1834483712
342229,7674424,1834483712
346764,8174376,1834483712
351008,8174832,1834483712
355513,8666616,1834483712
364129,9168504,1834483712
368439,9670520,1834483712
372696,9670520,1834483712
377042,10161848,1834483712
385891,11161296,1834483712
390336,11161752,1834483712
394660,11661704,1834483712
398840,11662160,1834483712
403212,12153984,1834483712
407408,12656000,1834483712
411623,12656000,1834483712
415777,13155496,1834483712
420084,13654992,1834483712
424252,13655448,1834483712
428537,14147536,1834483712
432813,14147992,1834483712
437050,14639760,1834483712
441559,15139712,1834483712
446072,15142232,1834483712
450310,15641728,1834483712
454592,15641728,1834483712
463147,16642032,1834483712
471886,17142440,1834483712
476132,17142896,1834483712
484965,18136912,1834483712
489233,18136912,1834483712
498089,18636408,1834483712
511273,19628592,1834483712
519967,20130480,1834483712
524198,20632496,1834483712
532577,21131992,1834483712
545540,22131896,1834483712
558464,23124072,1834483712
562762,23126592,1834483712
571288,24117904,1834483712
584083,24618312,1834483712
588513,25118264,1834483712
592860,25618216,1834483712
597108,25618672,1834483712
601396,26120688,1834483712
