"timeMillisSpent","score"
5,"-1hard/0medium/-2147483647soft"
4353,"0hard/-1medium/-458soft"
8578,"0hard/-1medium/-430soft"
12870,"0hard/-1medium/-483soft"
17172,"0hard/-1medium/-483soft"
21540,"0hard/-1medium/-483soft"
25726,"0hard/-1medium/-459soft"
29985,"0hard/-1medium/-459soft"
34262,"0hard/-1medium/-459soft"
38568,"0hard/-2medium/-476soft"
42890,"0hard/-2medium/-476soft"
47157,"0hard/-2medium/-476soft"
51443,"0hard/-2medium/-476soft"
55796,"0hard/-4medium/-496soft"
60070,"0hard/-4medium/-496soft"
64583,"0hard/-2medium/-476soft"
68901,"0hard/-2medium/-476soft"
73374,"0hard/-4medium/-575soft"
77644,"0hard/-4medium/-575soft"
81959,"0hard/-3medium/-497soft"
86125,"0hard/-3medium/-497soft"
90450,"0hard/-3medium/-497soft"
94976,"0hard/-3medium/-497soft"
99235,"0hard/-1medium/-459soft"
103538,"0hard/-1medium/-459soft"
107874,"0hard/-1medium/-459soft"
112255,"0hard/-1medium/-459soft"
116715,"0hard/-1medium/-483soft"
121208,"0hard/-1medium/-483soft"
125502,"0hard/-1medium/-501soft"
129878,"0hard/-1medium/-483soft"
134117,"0hard/-1medium/-482soft"
138544,"0hard/-2medium/-482soft"
142866,"0hard/-1medium/-482soft"
147256,"0hard/-1medium/-482soft"
151546,"0hard/-1medium/-482soft"
155790,"0hard/-1medium/-482soft"
160088,"0hard/0medium/-385soft"
160088,"-1hard/0medium/-2147483647soft"
160088,"-1hard/0medium/-2147483647soft"
160088,"-1hard/0medium/-2147483647soft"
164503,"0hard/0medium/-403soft"
168845,"0hard/0medium/-403soft"
173237,"0hard/0medium/-413soft"
177511,"0hard/-1medium/-443soft"
181740,"0hard/-2medium/-489soft"
186219,"0hard/-2medium/-489soft"
190569,"0hard/-2medium/-469soft"
194764,"0hard/-6medium/-475soft"
199064,"0hard/-6medium/-475soft"
203320,"0hard/-4medium/-496soft"
207885,"0hard/-4medium/-496soft"
212439,"0hard/-4medium/-516soft"
216731,"0hard/-4medium/-516soft"
221298,"0hard/-4medium/-527soft"
225479,"0hard/-4medium/-527soft"
229778,"0hard/-4medium/-527soft"
234069,"0hard/-7medium/-607soft"
238324,"0hard/-7medium/-607soft"
242527,"0hard/-7medium/-607soft"
246806,"0hard/-7medium/-607soft"
251169,"0hard/-7medium/-607soft"
255642,"0hard/-7medium/-607soft"
260118,"0hard/-7medium/-607soft"
264451,"0hard/-7medium/-588soft"
268673,"0hard/-7medium/-597soft"
273174,"0hard/-4medium/-531soft"
277699,"0hard/-4medium/-531soft"
281931,"0hard/-4medium/-531soft"
286193,"0hard/-6medium/-456soft"
290484,"0hard/-6medium/-456soft"
294672,"0hard/-6medium/-456soft"
299074,"0hard/-3medium/-456soft"
303418,"0hard/0medium/-393soft"
307786,"0hard/0medium/-393soft"
312102,"0hard/0medium/-393soft"
316395,"0hard/0medium/-434soft"
320680,"0hard/0medium/-434soft"
320680,"-1hard/0medium/-2147483647soft"
320681,"-1hard/0medium/-2147483647soft"
320681,"-1hard/0medium/-2147483647soft"
320681,"-1hard/0medium/-2147483647soft"
324986,"0hard/0medium/-403soft"
329277,"0hard/-3medium/-456soft"
333562,"0hard/-3medium/-456soft"
338018,"0hard/-3medium/-456soft"
342556,"0hard/-6medium/-459soft"
346979,"0hard/-6medium/-456soft"
351246,"0hard/-6medium/-456soft"
355722,"0hard/-3medium/-424soft"
360159,"0hard/-3medium/-449soft"
364657,"0hard/-3medium/-449soft"
368907,"0hard/-3medium/-449soft"
373241,"0hard/-3medium/-449soft"
377608,"0hard/-3medium/-449soft"
381971,"0hard/-3medium/-449soft"
386310,"0hard/-3medium/-449soft"
390811,"0hard/-3medium/-449soft"
395137,"0hard/-3medium/-449soft"
399471,"0hard/-3medium/-449soft"
404073,"0hard/-3medium/-477soft"
408439,"0hard/-6medium/-476soft"
412722,"0hard/-2medium/-483soft"
417025,"0hard/-2medium/-483soft"
421273,"0hard/-2medium/-483soft"
425626,"0hard/-2medium/-483soft"
429824,"0hard/-2medium/-483soft"
434048,"0hard/-2medium/-483soft"
438316,"0hard/-2medium/-483soft"
442609,"0hard/-2medium/-483soft"
447004,"0hard/-2medium/-461soft"
451324,"0hard/-4medium/-524soft"
455883,"0hard/-6medium/-454soft"
460091,"0hard/-6medium/-454soft"
464389,"0hard/-6medium/-454soft"
468770,"0hard/-3medium/-454soft"
473011,"0hard/-1medium/-490soft"
477234,"0hard/-1medium/-490soft"
481454,"0hard/-1medium/-490soft"
485785,"0hard/-1medium/-490soft"
490002,"0hard/-1medium/-490soft"
494265,"0hard/-4medium/-533soft"
498612,"0hard/-7medium/-599soft"
502839,"0hard/-7medium/-599soft"
507313,"0hard/-4medium/-499soft"
511572,"0hard/-1medium/-452soft"
516052,"0hard/-1medium/-452soft"
520363,"0hard/-1medium/-461soft"
524682,"0hard/-4medium/-527soft"
528979,"0hard/-4medium/-518soft"
533300,"0hard/-4medium/-518soft"
537629,"0hard/-4medium/-518soft"
541968,"0hard/-2medium/-452soft"
546509,"0hard/-2medium/-452soft"
550839,"0hard/-4medium/-514soft"
555102,"0hard/-4medium/-507soft"
559387,"0hard/-4medium/-507soft"
563879,"0hard/-4medium/-507soft"
568470,"0hard/-4medium/-507soft"
572733,"0hard/-4medium/-507soft"
577061,"0hard/-4medium/-507soft"
581293,"0hard/-1medium/-407soft"
585485,"0hard/-1medium/-407soft"
589811,"0hard/-1medium/-429soft"
594328,"0hard/-4medium/-503soft"
598707,"0hard/-4medium/-503soft"
603247,"0hard/-4medium/-510soft"
