"timeMillisSpent","calculateCountPerSecond"
4304,11
8786,0
13124,0
17645,0
21891,0
26055,0
30399,0
34649,0
39192,0
43714,0
48240,0
52469,1
56696,0
61055,0
65559,0
70106,0
74270,0
78494,0
82667,0
86925,0
91348,1
95747,0
99989,0
104502,0
108765,0
112995,0
117283,0
121585,0
126087,1
130468,0
135009,0
139308,0
143674,0
147896,0
152241,0
156689,0
161271,0
161272,1000
165627,2
170151,1
174430,0
178722,0
182988,0
187259,0
191530,0
195800,0
200308,0
204595,0
208900,0
213367,1
217723,0
222003,0
226348,0
230546,0
234904,0
239301,0
243784,0
248206,0
252344,0
256769,0
261144,0
265437,0
269788,1
274145,0
278536,1
282846,0
287222,0
291477,1
295896,0
300278,0
304671,0
308966,0
313272,0
317542,0
321805,0
321805,1000
326056,3
330562,0
334952,0
339203,0
343489,0
347789,0
352088,0
356402,0
360804,0
365097,0
369389,0
373755,0
378080,0
382625,0
387205,0
391538,0
395786,1
400176,0
404470,0
408981,0
413503,0
418074,0
422441,0
426779,0
431159,0
435555,0
439735,1
444228,0
448471,1
452877,0
457161,0
461406,0
465629,0
469946,0
474399,0
478732,0
483025,0
487371,0
491678,0
495975,0
500497,0
504738,0
509036,0
513349,0
517761,0
521971,0
526262,0
530488,0
534903,0
539259,0
543647,0
547972,0
552297,0
556841,0
561256,0
565530,0
569857,0
574401,0
578684,0
583021,0
587243,0
591437,1
595887,0
600411,0
