"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4,1,2
4222,1,1
8441,1,2
13001,1,2
17504,1,2
22070,1,1
26306,1,1
30574,1,1
35062,1,4
39200,1,1
43540,1,1
47886,1,2
52289,1,5
56601,1,1
60899,1,2
65380,1,3
69737,1,2
74192,1,4
78502,1,1
83015,1,2
87304,1,1
91751,1,6
95981,1,4
100185,1,2
104573,1,1
108925,1,2
113316,1,1
117480,1,1
121641,1,2
125938,1,5
130439,1,2
134872,1,4
139191,1,1
143457,1,4
147712,1,4
152197,1,4
156647,1,1
160993,1,3
160993,1,1
160993,1,4
160993,1,3
165208,1,2
169772,1,5
174106,1,3
178368,1,1
182645,1,1
186925,1,1
191248,1,1
195717,1,1
199977,1,1
204234,1,1
208512,1,1
212891,1,8
217128,1,1
221507,1,1
225684,1,2
229980,1,1
234471,1,2
238963,1,4
243512,1,3
247854,1,4
252120,1,1
256338,1,3
260854,1,2
265039,1,1
269508,1,5
273772,1,2
278328,1,7
282634,1,4
286838,1,1
291144,1,5
295444,1,1
299687,1,3
303968,1,2
308312,1,2
312664,1,1
317153,1,1
321352,1,1
321353,1,1
321353,1,4
321353,1,1
321353,1,5
325538,1,3
329785,1,3
334119,1,1
338362,1,1
342563,1,4
346860,1,2
351375,1,1
355692,1,1
359965,1,2
364077,1,1
368380,1,1
372916,1,2
377187,1,2
381469,1,1
385743,1,1
389989,1,3
394202,1,7
398458,1,1
402716,1,2
406972,1,1
411535,1,2
415878,1,2
420097,1,4
424344,1,2
428854,1,4
433199,1,2
437604,1,5
441914,1,2
446221,1,6
450548,1,3
455074,1,2
459615,1,1
463978,1,2
468220,1,2
472537,1,4
476893,1,1
481201,1,1
485513,1,2
489725,1,1
494098,1,2
498404,1,1
502930,1,1
507254,1,2
511579,1,1
515828,1,2
520123,1,2
524619,1,1
528939,1,3
533127,1,2
537494,1,1
541724,1,1
545964,1,3
550453,1,1
554703,1,1
558937,1,1
563206,1,1
567568,1,1
572012,1,1
576250,1,2
580504,1,1
584794,1,1
589060,1,7
593343,1,1
597886,1,1
602181,1,3
