"timeMillisSpent","score"
4,"-2hard/-1medium/-2147483647soft"
4,"-3hard/0medium/-2147483647soft"
4,"-3hard/0medium/-2147483647soft"
5,"-3hard/0medium/-2147483647soft"
5,"-6hard/0medium/-2147483647soft"
5,"-5hard/0medium/-2147483647soft"
5,"-5hard/-1medium/-2147483647soft"
5,"-5hard/-1medium/-2147483647soft"
5,"-4hard/-4medium/-2147483647soft"
5,"-2hard/-1medium/-2147483647soft"
5,"-2hard/-1medium/-2147483647soft"
5,"-2hard/-1medium/-2147483647soft"
6,"-2hard/-1medium/-2147483647soft"
6,"-2hard/-1medium/-2147483647soft"
6,"-2hard/-1medium/-2147483647soft"
6,"-2hard/-1medium/-2147483647soft"
6,"-2hard/-1medium/-2147483647soft"
6,"-6hard/-1medium/-2147483647soft"
6,"-7hard/-1medium/-2147483647soft"
6,"-3hard/-2medium/-2147483647soft"
6,"-2hard/-2medium/-2147483647soft"
6,"-2hard/-2medium/-2147483647soft"
7,"-3hard/-4medium/-2147483647soft"
7,"-2hard/-7medium/-2147483647soft"
7,"-2hard/-7medium/-2147483647soft"
7,"-2hard/-7medium/-2147483647soft"
7,"-3hard/-7medium/-2147483647soft"
7,"-3hard/-7medium/-2147483647soft"
7,"-3hard/-4medium/-2147483647soft"
7,"-3hard/-1medium/-2147483647soft"
7,"-3hard/-1medium/-2147483647soft"
7,"-2hard/-1medium/-2147483647soft"
8,"-2hard/-1medium/-2147483647soft"
8,"-1hard/-4medium/-2147483647soft"
8,"-2hard/-2medium/-2147483647soft"
8,"-3hard/-2medium/-2147483647soft"
8,"-2hard/-2medium/-2147483647soft"
8,"-1hard/-2medium/-2147483647soft"
8,"-1hard/-2medium/-2147483647soft"
8,"-2hard/-2medium/-2147483647soft"
8,"-2hard/-2medium/-2147483647soft"
9,"-2hard/-2medium/-2147483647soft"
9,"-3hard/-2medium/-2147483647soft"
9,"-2hard/-2medium/-2147483647soft"
9,"-2hard/-2medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-3medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-2hard/-1medium/-2147483647soft"
9,"-4hard/-1medium/-2147483647soft"
9,"-4hard/-1medium/-2147483647soft"
9,"-4hard/-1medium/-2147483647soft"
9,"-3hard/-1medium/-2147483647soft"
10,"-2hard/-2medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-2hard/-1medium/-2147483647soft"
10,"-2hard/-1medium/-2147483647soft"
10,"-2hard/-1medium/-2147483647soft"
10,"-2hard/-1medium/-2147483647soft"
10,"-1hard/-4medium/-2147483647soft"
10,"-1hard/-4medium/-2147483647soft"
10,"-1hard/-7medium/-2147483647soft"
10,"-2hard/-7medium/-2147483647soft"
10,"-2hard/-7medium/-2147483647soft"
10,"-3hard/-7medium/-2147483647soft"
11,"-2hard/-7medium/-2147483647soft"
11,"-1hard/-7medium/-2147483647soft"
11,"-1hard/-7medium/-2147483647soft"
