"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4,1,2
4295,1,1
8610,1,2
12794,1,2
17040,1,2
21368,1,1
25922,1,1
30135,1,1
34488,1,4
38828,1,1
43351,1,1
47763,1,2
52340,1,5
56597,1,1
60903,1,2
65112,1,3
69538,1,2
73858,1,4
78215,1,1
82460,1,2
86790,1,1
91077,1,6
95196,1,4
99530,1,2
103849,1,1
108229,1,2
112572,1,1
116823,1,1
121288,1,2
125480,1,5
129807,1,2
134200,1,4
138615,1,1
142915,1,4
147285,1,4
151562,1,4
156104,1,1
160313,1,3
160313,1,1
160313,1,4
160313,1,3
164796,1,2
169095,1,5
173300,1,3
177793,1,1
181984,1,1
186386,1,1
190601,1,1
194876,1,1
199241,1,1
203569,1,1
207865,1,1
212088,1,8
216252,1,1
220708,1,1
225180,1,2
229451,1,1
233894,1,2
238226,1,4
242505,1,3
246961,1,4
251205,1,1
255724,1,3
260092,1,2
264325,1,1
268603,1,5
272891,1,2
277253,1,7
281557,1,4
285766,1,1
289979,1,5
294225,1,1
298536,1,3
302870,1,2
307202,1,2
311427,1,1
315688,1,1
319831,1,1
319831,1,1
319831,1,4
319831,1,1
319831,1,5
324154,1,3
328500,1,3
332725,1,1
337086,1,1
341368,1,4
345778,1,2
350175,1,1
354501,1,1
358836,1,2
363065,1,1
367330,1,1
371547,1,2
376062,1,2
380273,1,1
384453,1,1
388815,1,3
393276,1,7
397662,1,1
401938,1,2
406221,1,1
410424,1,2
414704,1,2
418914,1,4
423270,1,2
427548,1,4
431844,1,2
436034,1,5
440353,1,2
444597,1,6
448872,1,3
453337,1,2
457568,1,1
462045,1,2
466221,1,2
470727,1,4
475044,1,1
479339,1,1
483662,1,2
488046,1,1
492331,1,2
496683,1,1
501001,1,1
505530,1,2
509841,1,1
514159,1,2
518632,1,2
523199,1,1
527702,1,3
532063,1,2
536334,1,1
540823,1,1
545041,1,3
549277,1,1
553781,1,1
558119,1,1
562634,1,1
566967,1,1
571284,1,1
575633,1,2
579952,1,1
584301,1,1
588834,1,7
593151,1,1
597426,1,1
601703,1,3
