"timeMillisSpent","score"
4,"-1hard/0medium/-2147483647soft"
4295,"0hard/-1medium/-483soft"
8610,"0hard/-1medium/-464soft"
12794,"0hard/-1medium/-473soft"
17040,"0hard/-1medium/-473soft"
21368,"0hard/-1medium/-473soft"
25922,"0hard/-1medium/-422soft"
30135,"0hard/-1medium/-422soft"
34488,"0hard/-1medium/-422soft"
38828,"0hard/-2medium/-510soft"
43351,"0hard/-2medium/-510soft"
47763,"0hard/-2medium/-510soft"
52340,"0hard/-2medium/-510soft"
56597,"0hard/-4medium/-538soft"
60903,"0hard/-4medium/-538soft"
65112,"0hard/-2medium/-510soft"
69538,"0hard/-2medium/-510soft"
73858,"0hard/-4medium/-609soft"
78215,"0hard/-4medium/-609soft"
82460,"0hard/-3medium/-496soft"
86790,"0hard/-3medium/-496soft"
91077,"0hard/-3medium/-496soft"
95196,"0hard/-3medium/-496soft"
99530,"0hard/-1medium/-422soft"
103849,"0hard/-1medium/-422soft"
108229,"0hard/-1medium/-422soft"
112572,"0hard/-1medium/-422soft"
116823,"0hard/-1medium/-473soft"
121288,"0hard/-1medium/-486soft"
125480,"0hard/-1medium/-497soft"
129807,"0hard/-1medium/-486soft"
134200,"0hard/-1medium/-499soft"
138615,"0hard/-2medium/-499soft"
142915,"0hard/-1medium/-499soft"
147285,"0hard/-1medium/-499soft"
151562,"0hard/-1medium/-499soft"
156104,"0hard/-1medium/-499soft"
160313,"0hard/0medium/-402soft"
160313,"-1hard/0medium/-2147483647soft"
160313,"-1hard/0medium/-2147483647soft"
160313,"-1hard/0medium/-2147483647soft"
164796,"0hard/0medium/-416soft"
169095,"0hard/0medium/-416soft"
173300,"0hard/0medium/-416soft"
177793,"0hard/-1medium/-416soft"
181984,"0hard/-2medium/-487soft"
186386,"0hard/-2medium/-487soft"
190601,"0hard/-2medium/-487soft"
194876,"0hard/-6medium/-450soft"
199241,"0hard/-6medium/-450soft"
203569,"0hard/-4medium/-519soft"
207865,"0hard/-4medium/-519soft"
212088,"0hard/-4medium/-512soft"
216252,"0hard/-4medium/-512soft"
220708,"0hard/-4medium/-543soft"
225180,"0hard/-4medium/-543soft"
229451,"0hard/-4medium/-543soft"
233894,"0hard/-7medium/-622soft"
238226,"0hard/-7medium/-622soft"
242505,"0hard/-7medium/-622soft"
246961,"0hard/-7medium/-628soft"
251205,"0hard/-7medium/-628soft"
255724,"0hard/-7medium/-628soft"
260092,"0hard/-7medium/-628soft"
264325,"0hard/-7medium/-617soft"
268603,"0hard/-7medium/-617soft"
272891,"0hard/-4medium/-561soft"
277253,"0hard/-4medium/-561soft"
281557,"0hard/-4medium/-561soft"
285766,"0hard/-6medium/-454soft"
289979,"0hard/-6medium/-454soft"
294225,"0hard/-6medium/-480soft"
298536,"0hard/-3medium/-480soft"
302870,"0hard/0medium/-402soft"
307202,"0hard/0medium/-402soft"
311427,"0hard/0medium/-402soft"
315688,"0hard/0medium/-422soft"
319831,"0hard/0medium/-422soft"
319831,"-1hard/0medium/-2147483647soft"
319831,"-1hard/0medium/-2147483647soft"
319831,"-1hard/0medium/-2147483647soft"
319831,"-1hard/0medium/-2147483647soft"
324154,"0hard/0medium/-408soft"
328500,"0hard/-3medium/-447soft"
332725,"0hard/-3medium/-447soft"
337086,"0hard/-3medium/-447soft"
341368,"0hard/-6medium/-447soft"
345778,"0hard/-6medium/-447soft"
350175,"0hard/-6medium/-447soft"
354501,"0hard/-3medium/-440soft"
358836,"0hard/-3medium/-438soft"
363065,"0hard/-3medium/-438soft"
367330,"0hard/-3medium/-438soft"
371548,"0hard/-3medium/-438soft"
376062,"0hard/-3medium/-438soft"
380273,"0hard/-3medium/-438soft"
384453,"0hard/-3medium/-438soft"
388815,"0hard/-3medium/-438soft"
393276,"0hard/-3medium/-438soft"
397662,"0hard/-3medium/-438soft"
401938,"0hard/-3medium/-441soft"
406221,"0hard/-6medium/-467soft"
410424,"0hard/-2medium/-467soft"
414704,"0hard/-2medium/-467soft"
418914,"0hard/-2medium/-467soft"
423270,"0hard/-2medium/-467soft"
427548,"0hard/-2medium/-467soft"
431844,"0hard/-2medium/-467soft"
436034,"0hard/-2medium/-467soft"
440353,"0hard/-2medium/-467soft"
444597,"0hard/-2medium/-467soft"
448872,"0hard/-4medium/-517soft"
453337,"0hard/-6medium/-467soft"
457568,"0hard/-6medium/-467soft"
462045,"0hard/-6medium/-467soft"
466221,"0hard/-3medium/-467soft"
470727,"0hard/-1medium/-525soft"
475044,"0hard/-1medium/-525soft"
479339,"0hard/-1medium/-525soft"
483662,"0hard/-1medium/-525soft"
488046,"0hard/-1medium/-525soft"
