"timeMillisSpent","calculateCountPerSecond"
4360,34
8779,0
13323,0
17647,0
22096,0
26382,0
30656,0
35192,0
39579,0
44021,0
48498,0
52866,0
57328,0
57329,2000
61720,0
66030,0
70382,0
74653,0
78839,0
83187,0
87522,0
87522,1000
91789,0
91789,1000
96376,1
96376,1000
100780,14
105266,0
109668,0
114039,0
118399,0
118400,4000
122832,2
127104,0
131239,0
135640,0
135640,2000
140186,0
144388,0
144388,1000
148641,1
148642,1000
152989,0
157244,0
161630,0
161630,1000
166211,0
166213,1500
170650,17
170651,1000
175179,23
179470,0
183831,0
188103,0
192420,0
196726,0
196727,4000
200933,0
200934,1000
205326,7
205327,1000
209664,144
209664,2000
213961,12
218581,0
222814,0
227090,0
227090,1000
231579,10
231580,3000
235902,7
240191,0
244501,0
248784,0
253305,0
253306,1000
257510,25
261854,1
266168,0
270603,1
275125,0
279410,0
283597,0
287911,0
292262,0
296599,0
300997,0
