"timeMillisSpent","usedMemory","maxMemory"
4360,5179768,1834483712
8779,5508584,1834483712
13323,5848744,1834483712
17647,5848744,1834483712
22096,6177000,1834483712
26382,6511200,1834483712
30656,6511200,1834483712
35192,6839456,1834483712
39579,7175896,1834483712
44021,7512336,1834483712
48498,7512336,1834483712
52866,7857104,1834483712
57328,8193544,1834483712
57329,8193544,1834483712
61720,8193544,1834483712
66030,8529984,1834483712
70382,8866952,1834483712
74653,8866952,1834483712
78839,9199296,1834483712
83187,9535736,1834483712
87522,9543944,1834483712
87522,9872224,1834483712
91789,9872224,1834483712
91789,9872224,1834483712
96376,10200520,1834483712
96376,10200520,1834483712
100780,11517488,1834483712
105266,11533904,1834483712
109668,11862848,1834483712
114039,12199288,1834483712
118399,12552144,1834483712
118400,12552144,1834483712
122832,12880496,1834483712
127104,13257960,1834483712
131239,13257960,1834483712
135640,13594400,1834483712
135640,13594400,1834483712
140186,13934800,1834483712
144388,14271240,1834483712
144388,14271240,1834483712
148641,14607680,1834483712
148642,14607680,1834483712
152989,14960536,1834483712
157244,14960536,1834483712
161630,15296976,1834483712
161630,15296976,1834483712
166211,15641608,1834483712
166213,15641608,1834483712
170650,17311976,1834483712
170651,17311976,1834483712
175179,18954640,1834483712
179470,19283176,1834483712
183831,19283176,1834483712
188103,19611448,1834483712
192420,19951608,1834483712
196726,19951608,1834483712
196727,20279856,1834483712
200933,20279856,1834483712
200934,20279856,1834483712
205326,21264848,1834483712
205327,21264848,1834483712
209664,30479792,1834483712
209664,30479792,1834483712
213961,31464568,1834483712
218581,31792888,1834483712
222814,32133048,1834483712
227090,32133048,1834483712
227090,32465392,1834483712
231579,33122360,1834483712
231580,33122360,1834483712
235902,34127768,1834483712
240191,34127768,1834483712
244501,34456032,1834483712
248784,34787256,1834483712
253305,35123696,1834483712
253306,35123696,1834483712
257510,4963096,1834483712
261854,5413536,1834483712
266168,5413536,1834483712
270603,5860256,1834483712
275125,5860256,1834483712
279410,6299464,1834483712
283597,6299464,1834483712
287911,6738000,1834483712
292262,7184720,1834483712
296599,7184720,1834483712
300997,7631440,1834483712
