"timeMillisSpent","score"
9,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
4360,"0hard/-1medium/-416soft"
8779,"0hard/-1medium/-416soft"
13323,"0hard/-4medium/-485soft"
17647,"0hard/-1medium/-420soft"
22096,"0hard/-3medium/-393soft"
26382,"0hard/-4medium/-459soft"
30656,"0hard/-4medium/-459soft"
35192,"0hard/-4medium/-466soft"
39579,"0hard/-4medium/-466soft"
44021,"0hard/-4medium/-466soft"
48498,"0hard/-4medium/-466soft"
52866,"0hard/-1medium/-397soft"
57328,"0hard/-1medium/-416soft"
57329,"-1hard/-1medium/-2147483647soft"
61720,"0hard/-1medium/-411soft"
66030,"0hard/-1medium/-411soft"
70382,"0hard/-1medium/-409soft"
74653,"0hard/-1medium/-397soft"
78839,"0hard/-2medium/-399soft"
83187,"0hard/-4medium/-470soft"
87522,"0hard/-4medium/-470soft"
87522,"-1hard/-1medium/-2147483647soft"
91789,"0hard/-1medium/-400soft"
91789,"-1hard/-1medium/-2147483647soft"
91790,"-1hard/-1medium/-2147483647soft"
96376,"0hard/-1medium/-405soft"
96376,"-1hard/0medium/-2147483647soft"
96376,"-1hard/0medium/-2147483647soft"
96377,"-1hard/-1medium/-2147483647soft"
96377,"-1hard/-1medium/-2147483647soft"
96377,"-1hard/-1medium/-2147483647soft"
96378,"-1hard/-1medium/-2147483647soft"
96378,"-1hard/-1medium/-2147483647soft"
96378,"-1hard/-1medium/-2147483647soft"
96379,"-1hard/-1medium/-2147483647soft"
96379,"-1hard/-1medium/-2147483647soft"
96379,"-1hard/-1medium/-2147483647soft"
96380,"-1hard/-1medium/-2147483647soft"
96380,"-1hard/-1medium/-2147483647soft"
96380,"-1hard/-1medium/-2147483647soft"
96381,"-1hard/-1medium/-2147483647soft"
96382,"-1hard/-1medium/-2147483647soft"
96383,"-1hard/-1medium/-2147483647soft"
96384,"-1hard/-1medium/-2147483647soft"
96385,"-1hard/-1medium/-2147483647soft"
96385,"-1hard/-1medium/-2147483647soft"
96385,"-1hard/-1medium/-2147483647soft"
96386,"-1hard/0medium/-2147483647soft"
96387,"-1hard/0medium/-2147483647soft"
96387,"-1hard/0medium/-2147483647soft"
100780,"0hard/-3medium/-398soft"
105266,"0hard/-3medium/-398soft"
109668,"0hard/-1medium/-419soft"
114039,"0hard/-1medium/-419soft"
118399,"0hard/-1medium/-419soft"
118400,"-1hard/0medium/-2147483647soft"
118400,"-1hard/0medium/-2147483647soft"
118401,"-1hard/0medium/-2147483647soft"
118401,"-1hard/0medium/-2147483647soft"
118402,"-1hard/0medium/-2147483647soft"
118402,"-1hard/0medium/-2147483647soft"
122832,"0hard/0medium/-353soft"
127104,"0hard/0medium/-353soft"
131239,"0hard/-1medium/-418soft"
135640,"0hard/-1medium/-418soft"
135640,"-1hard/-1medium/-2147483647soft"
135641,"-1hard/-1medium/-2147483647soft"
140186,"0hard/-2medium/-418soft"
144388,"0hard/-1medium/-418soft"
144388,"-1hard/-1medium/-2147483647soft"
144388,"-1hard/-1medium/-2147483647soft"
144389,"-1hard/-1medium/-2147483647soft"
144389,"-1hard/-1medium/-2147483647soft"
148641,"0hard/-1medium/-405soft"
148642,"-1hard/-1medium/-2147483647soft"
148642,"-1hard/-1medium/-2147483647soft"
152989,"0hard/0medium/-339soft"
157244,"0hard/0medium/-339soft"
