"timeMillisSpent","calculateCountPerSecond"
4312,44
8862,0
13210,0
17432,0
21689,0
21690,1000
26258,188
30472,0
30472,1000
34807,2
39173,0
43573,0
47853,0
52164,0
56470,0
60870,0
65122,0
69417,0
73948,0
78306,0
78307,2000
82370,3
82370,1000
86678,147
86678,1000
90954,36
90955,1000
95408,67
99612,0
99613,2000
103850,0
108326,0
112647,0
112648,1000
117178,55
121562,0
125842,0
130384,0
134829,0
139122,0
143484,0
147814,0
152044,0
152045,4000
156603,3
160905,0
165341,0
169777,0
174134,0
174134,1000
178409,4
182844,0
187097,0
187098,1000
191368,1
191368,3000
195881,2
200081,0
204627,0
208915,0
213305,0
217671,0
217671,1000
221954,0
226095,0
230418,0
234880,0
239161,0
243415,0
243415,3000
247671,68
251981,0
256479,0
260871,0
265255,0
269812,0
274131,0
278704,0
283099,0
287390,0
291648,0
296155,0
300711,0
