"timeMillisSpent","usedMemory","maxMemory"
4312,6124584,1834483712
8862,6124584,1834483712
13210,6642176,1834483712
17432,6642176,1834483712
21689,7160296,1834483712
21690,7160296,1834483712
26258,19400664,1834483712
30472,19400664,1834483712
30472,19400664,1834483712
34807,19918256,1834483712
39173,19918256,1834483712
43573,19918256,1834483712
47853,20427672,1834483712
52164,20427672,1834483712
56470,20945264,1834483712
60870,20945264,1834483712
65122,20945264,1834483712
69417,21462856,1834483712
73948,21462856,1834483712
78306,21980448,1834483712
78307,21980448,1834483712
82370,21980448,1834483712
82370,21980448,1834483712
86678,31684712,1834483712
86678,31684712,1834483712
90954,33726712,1834483712
90955,33726712,1834483712
95408,6113136,1834483712
99612,6113136,1834483712
99613,6113136,1834483712
103850,6680648,1834483712
108326,6680648,1834483712
112647,6680648,1834483712
112648,6680648,1834483712
117178,10597576,1834483712
121562,11165088,1834483712
125842,11165088,1834483712
130384,11165088,1834483712
134829,11727384,1834483712
139122,11727384,1834483712
143484,11727384,1834483712
147814,12294896,1834483712
152044,12294896,1834483712
152045,12294896,1834483712
156603,12854616,1834483712
160905,12854616,1834483712
165341,13422128,1834483712
169777,13422128,1834483712
174134,13422128,1834483712
174134,13422128,1834483712
178409,13981488,1834483712
182844,13981488,1834483712
187097,14540984,1834483712
187098,14540984,1834483712
191368,14540984,1834483712
191368,14540984,1834483712
195881,15100304,1834483712
200081,15100304,1834483712
204627,15662600,1834483712
208915,15662600,1834483712
213305,15662600,1834483712
217671,16230112,1834483712
217671,16230112,1834483712
221954,16230112,1834483712
226095,16230112,1834483712
230418,16789440,1834483712
234880,16789440,1834483712
239161,17356952,1834483712
243415,17356952,1834483712
243415,17356952,1834483712
247671,21277072,1834483712
251981,21837160,1834483712
256479,21837160,1834483712
260871,22404672,1834483712
265255,22404672,1834483712
269812,22404672,1834483712
274131,22967936,1834483712
278704,22967936,1834483712
283099,22967936,1834483712
287390,23530232,1834483712
291648,23530232,1834483712
296155,23530232,1834483712
300711,24097744,1834483712
