"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
8,1,8
8,1,3
8,1,2
9,1,5
9,1,4
9,1,8
10,1,3
10,1,7
11,1,7
11,1,3
11,1,1
12,1,3
12,1,5
12,1,1
12,1,1
13,1,12
14,1,9
14,1,2
14,1,1
14,1,3
15,1,1
15,1,3
15,1,1
15,1,6
16,1,2
16,1,1
17,1,12
17,1,2
17,1,1
17,1,3
18,1,1
18,1,8
4312,1,6
8862,1,1
13210,1,2
17432,1,1
21689,1,1
21690,1,1
21691,1,3
21692,1,4
21692,1,3
21693,1,2
21693,1,1
21694,1,1
21694,1,3
21695,1,1
21695,1,3
21696,1,4
21696,1,1
21696,1,3
21697,1,3
21697,1,1
21697,1,6
21698,1,2
21698,1,1
21698,1,1
21699,1,4
21699,1,6
21700,1,4
21700,1,4
21700,1,6
21701,1,2
21701,1,3
21701,1,2
21701,1,2
21702,1,2
21702,1,1
21702,1,4
21703,1,1
21703,1,3
21703,1,1
21703,1,1
21704,1,1
21704,1,6
21706,1,3
21708,1,13
21709,1,5
21709,1,3
21709,1,2
21710,1,2
21710,1,1
21711,1,1
21711,1,8
21712,1,1
21713,1,6
21713,1,2
21713,1,1
21714,1,1
21714,1,1
21714,1,4
21715,1,1
21715,1,1
21715,1,3
21716,1,9
21717,1,2
21717,1,1
21718,1,7
21718,1,1
21718,1,1
21719,1,2
21719,1,1
21719,1,2
21719,1,4
21720,1,9
21720,1,1
21721,1,7
21721,1,4
21721,1,2
21721,1,1
21722,1,2
21722,1,1
21722,1,6
21723,1,2
21723,1,1
21723,1,1
21723,1,2
21724,1,5
21724,1,9
21724,1,1
21725,1,3
21725,1,3
21726,1,1
21726,1,2
21727,1,10
21728,1,2
21728,1,4
21729,1,1
21729,1,4
21730,1,4
21731,1,6
21731,1,3
21731,1,1
21732,1,1
21732,1,16
21733,1,1
21733,1,5
21733,1,1
21733,1,2
21734,1,1
21734,1,2
21734,1,1
21734,1,5
21735,1,1
21735,1,1
21735,1,4
21736,1,2
21736,1,2
21736,1,8
21736,1,1
21737,1,4
21737,1,1
21737,1,1
21738,1,6
21738,1,3
21738,1,1
21738,1,3
21739,1,1
21740,1,1
21740,1,3
21741,1,3
21742,1,6
21742,1,1
21743,1,4
21743,1,4
21743,1,1
21744,1,5
21744,1,1
21745,1,8
21745,1,1
21745,1,3
21746,1,4
21746,1,1
21747,1,5
21747,1,5
21747,1,1
21748,1,7
21748,1,1
21749,1,9
21750,1,5
21750,1,4
21750,1,1
21751,1,2
21751,1,4
21752,1,3
21752,1,13
21753,1,1
21754,1,14
21754,1,2
21754,1,2
21755,1,1
21755,1,4
21756,1,3
21756,1,3
21756,1,1
21757,1,3
21757,1,10
21758,1,3
21758,1,7
21759,1,1
21759,1,4
21760,1,4
21760,1,6
21760,1,2
21761,1,2
21761,1,2
21762,1,5
21762,1,4
21763,1,4
21763,1,3
21763,1,2
21764,1,2
21764,1,2
21764,1,2
21765,1,1
21765,1,10
21766,1,3
21766,1,3
21767,1,2
21767,1,2
21767,1,1
21768,1,3
21768,1,2
21768,1,6
21769,1,7
21769,1,2
21770,1,1
21770,1,4
21771,1,2
21771,1,1
21771,1,2
21772,1,3
21772,1,2
21773,1,7
21773,1,2
21773,1,2
21773,1,1
21774,1,3
21774,1,3
21775,1,6
21775,1,1
21776,1,4
21776,1,2
21776,1,6
21777,1,2
21777,1,1
21777,1,2
21778,1,4
21778,1,6
21779,1,7
21779,1,2
21780,1,3
21780,1,1
21780,1,4
21781,1,2
21781,1,2
21781,1,3
21782,1,8
21782,1,2
21782,1,2
21783,1,4
21783,1,3
21783,1,2
21783,1,3
21784,1,4
21784,1,1
21784,1,2
21785,1,2
21785,1,3
21785,1,2
21786,1,7
21786,1,3
21786,1,4
21787,1,1
21787,1,10
21787,1,3
21788,1,2
21788,1,4
21788,1,1
21789,1,1
21789,1,1
21789,1,3
21789,1,2
21790,1,1
21790,1,2
21790,1,4
21791,1,1
21791,1,5
21791,1,1
21792,1,1
21792,1,2
21792,1,2
21793,1,6
21793,1,2
21794,1,7
21794,1,2
21794,1,4
21794,1,2
21795,1,7
21795,1,1
21796,1,2
21796,1,4
21796,1,2
21797,1,3
21797,1,1
21797,1,3
21798,1,1
21798,1,1
21798,1,1
21798,1,1
21799,1,11
21799,1,1
21799,1,1
21800,1,1
26258,1,1
30472,1,1
30472,1,1
30472,1,1
30473,1,1
30473,1,4
34807,1,4
39173,1,3
43573,1,3
47853,1,2
52164,1,2
56470,1,1
60870,1,3
65122,1,1
69417,1,1
73948,1,2
78306,1,2
78307,1,2
78307,1,4
82370,1,9
82370,1,1
82371,1,7
82371,1,1
82371,1,1
82371,1,4
82372,1,3
82372,1,1
82372,1,2
82372,1,1
82372,1,1
82372,1,3
82373,1,2
82373,1,2
82373,1,1
82373,1,1
82373,1,2
82373,1,2
82374,1,1
82374,1,1
82374,1,1
82374,1,2
82375,1,5
82375,1,4
82375,1,2
82375,1,1
82375,1,5
82376,1,1
82376,1,4
82376,1,2
82376,1,1
82376,1,1
82376,1,1
82376,1,1
82376,1,1
82377,1,1
82377,1,1
82377,1,2
82377,1,3
82377,1,3
82377,1,2
82378,1,5
82378,1,4
82378,1,6
82378,1,4
82378,1,2
82379,1,1
82379,1,1
82379,1,4
82379,1,3
82379,1,5
82380,1,7
82380,1,3
82380,1,9
82380,1,1
82381,1,2
82381,1,6
82381,1,7
82381,1,1
82381,1,3
82382,1,2
82382,1,5
82382,1,1
82383,1,3
82383,1,2
82383,1,1
82383,1,1
82384,1,5
82384,1,2
82384,1,3
82384,1,1
82385,1,3
82385,1,1
82385,1,1
82385,1,3
82386,1,3
82386,1,1
82386,1,1
82386,1,2
82387,1,5
82387,1,3
82387,1,2
82387,1,1
82388,1,11
82388,1,1
82388,1,2
82389,1,1
82389,1,3
82389,1,3
82390,1,4
82390,1,1
82390,1,2
82390,1,1
82390,1,2
82391,1,2
82391,1,1
82391,1,1
82391,1,1
82392,1,2
82392,1,2
82392,1,9
82393,1,4
82393,1,3
82393,1,5
82394,1,2
82394,1,1
82394,1,6
82394,1,1
82395,1,2
82395,1,5
82395,1,2
82396,1,9
82396,1,1
82396,1,2
82396,1,1
82397,1,5
82397,1,1
82397,1,6
82397,1,3
82398,1,1
82398,1,1
82398,1,3
82398,1,2
82398,1,1
82399,1,8
82399,1,7
82400,1,1
82400,1,4
82400,1,4
82400,1,1
82401,1,2
82401,1,1
82401,1,1
82401,1,4
82401,1,1
82402,1,4
82402,1,2
82402,1,3
82402,1,3
82402,1,5
82403,1,9
82403,1,2
82403,1,4
82403,1,1
82403,1,1
82403,1,2
82404,1,2
82404,1,1
82404,1,5
82404,1,1
82404,1,3
82404,1,1
82405,1,6
82405,1,5
82405,1,5
82405,1,3
82405,1,2
82406,1,5
82406,1,1
82406,1,3
82406,1,2
82406,1,1
82406,1,2
82406,1,3
82407,1,3
82407,1,2
82407,1,1
82407,1,2
82407,1,1
82407,1,9
82408,1,2
82408,1,2
82408,1,1
82408,1,1
82408,1,2
82408,1,5
82409,1,2
82409,1,3
82409,1,6
82409,1,1
82409,1,1
82409,1,1
82410,1,1
82410,1,1
82410,1,2
82410,1,2
82411,1,20
82411,1,1
82411,1,7
82411,1,3
82411,1,4
82412,1,6
82412,1,4
82412,1,1
82412,1,3
82413,1,8
82413,1,1
82413,1,1
82413,1,5
82413,1,4
82413,1,3
82414,1,2
82414,1,2
82414,1,6
82414,1,1
82414,1,4
82415,1,1
82415,1,3
82415,1,1
82415,1,2
82415,1,2
82415,1,2
82415,1,2
82416,1,1
82416,1,2
82416,1,1
82416,1,4
82416,1,3
82417,1,3
82417,1,1
82417,1,1
82417,1,1
82417,1,4
82417,1,1
82417,1,2
82418,1,3
82418,1,1
82418,1,2
82418,1,4
82418,1,1
82419,1,6
82419,1,1
86678,1,2
86678,1,1
86678,1,1
86679,1,14
86679,1,2
86680,1,2
86680,1,2
86680,1,1
86681,1,4
86682,1,6
86682,1,1
86682,1,2
86682,1,1
86684,1,11
86685,1,7
86685,1,3
86686,1,6
86687,1,6
86687,1,1
86688,1,3
86688,1,1
86688,1,4
86689,1,5
86689,1,10
86690,1,1
86690,1,1
86690,1,1
86690,1,4
86691,1,2
86691,1,3
86691,1,7
86692,1,5
86692,1,5
86693,1,6
86693,1,6
86693,1,1
86694,1,1
86694,1,3
86694,1,1
86694,1,3
86695,1,2
86695,1,4
86695,1,2
86696,1,3
90954,1,3
90955,1,1
90955,1,2
90955,1,7
90955,1,1
90956,1,1
90956,1,1
90956,1,12
90956,1,1
90957,1,1
90957,1,10
90957,1,1
90958,1,3
90958,1,1
90958,1,2
90958,1,3
90958,1,2
90959,1,3
