"timeMillisSpent","calculateCountPerSecond"
4293,71
8898,0
8899,2000
13456,0
17694,0
21935,0
26323,0
30811,0
35047,0
39430,0
43779,0
48045,1
52580,0
56961,0
61503,0
66042,0
70318,0
74576,0
78998,1
83382,0
87959,1
92165,0
96741,0
101129,0
105693,0
105694,3000
110063,151
110063,2000
114541,41
118793,0
122917,0
127200,0
127200,1000
131497,0
135829,0
140427,0
140429,500
144778,1
144778,1000
149073,13
153557,0
157920,0
162430,0
166651,0
171072,0
175439,0
179971,0
184206,0
188735,0
192960,0
197346,0
201573,0
205899,0
210363,0
214709,0
214709,1000
218899,2
218899,2000
223531,8
227858,0
227860,500
232281,4
236840,0
236841,1000
241139,7
241139,3000
245504,11
249916,0
254243,0
258695,0
262941,1
267196,0
271520,0
280365,0
280366,3000
284884,4
289205,0
289206,2000
293656,3
298038,0
298039,2000
302396,6
