"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
13,1,6
13,1,6
13,1,3
14,1,4
14,1,2
14,1,3
14,1,2
14,1,7
14,1,4
15,1,3
15,1,5
15,1,4
15,1,7
15,1,1
15,1,2
16,1,4
16,1,3
16,1,3
16,1,1
16,1,2
16,1,1
16,1,1
17,1,2
17,1,7
17,1,1
17,1,8
18,1,4
18,1,2
18,1,1
18,1,2
18,1,2
18,1,2
18,1,1
18,1,1
19,1,1
19,1,8
19,1,1
19,1,1
19,1,1
20,1,1
20,1,1
20,1,1
20,1,2
20,1,2
20,1,2
20,1,1
21,1,9
21,1,3
21,1,1
21,1,4
21,1,3
21,1,1
22,1,4
22,1,3
22,1,8
22,1,2
22,1,3
22,1,2
23,1,1
23,1,5
23,1,3
23,1,3
23,1,4
23,1,1
23,1,1
24,1,5
24,1,7
24,1,2
24,1,1
25,1,8
25,1,5
26,1,3
26,1,1
26,1,2
26,1,2
26,1,4
26,1,1
27,1,1
27,1,2
27,1,3
27,1,6
28,1,6
28,1,4
28,1,3
28,1,2
29,1,2
29,1,1
29,1,2
29,1,3
29,1,1
29,1,1
29,1,1
30,1,9
30,1,5
31,1,4
31,1,1
31,1,2
31,1,3
31,1,2
32,1,4
32,1,4
32,1,2
32,1,5
33,1,2
33,1,1
33,1,3
33,1,4
34,1,4
34,1,4
34,1,2
34,1,1
34,1,2
35,1,2
35,1,1
35,1,1
35,1,1
35,1,4
35,1,1
35,1,1
36,1,1
36,1,1
36,1,8
36,1,1
37,1,12
37,1,1
37,1,1
37,1,2
37,1,4
38,1,2
38,1,3
38,1,1
38,1,2
38,1,1
39,1,4
39,1,3
39,1,7
39,1,5
40,1,5
40,1,6
40,1,3
41,1,3
41,1,1
41,1,1
41,1,1
41,1,1
41,1,2
42,1,1
42,1,8
42,1,4
43,1,2
43,1,4
43,1,1
43,1,1
43,1,4
43,1,2
44,1,3
44,1,1
44,1,1
44,1,6
4578,1,6
9058,1,2
13406,1,1
17697,1,2
21885,1,1
26191,1,1
30623,1,3
34904,1,2
39247,1,1
43610,1,1
47946,1,1
52324,1,1
56567,1,2
60920,1,1
65264,1,1
69633,1,1
74034,1,2
78511,1,2
82663,1,5
87003,1,1
91247,1,1
95620,1,2
100173,1,2
104405,1,3
108814,1,2
113208,1,1
117567,1,1
122055,1,2
126365,1,2
130775,1,2
135040,1,1
139414,1,1
143935,1,1
148208,1,2
152587,1,2
156800,1,1
161086,1,1
165379,1,2
169671,1,1
174013,1,2
178536,1,1
182878,1,1
187286,1,1
191583,1,1
196005,1,1
200375,1,1
200375,1,1
200375,1,1
200376,1,1
200376,1,1
200376,1,2
200376,1,2
200376,1,2
200376,1,4
200376,1,3
200376,1,1
200376,1,2
200377,1,5
200377,1,3
200377,1,1
200377,1,1
200377,1,4
200377,1,1
200377,1,1
200377,1,1
200377,1,4
200377,1,2
200378,1,1
200378,1,4
200378,1,3
200378,1,1
200378,1,1
200378,1,1
200378,1,1
200378,1,4
200378,1,1
200378,1,2
200379,1,1
200379,1,1
200379,1,7
200379,1,2
200379,1,4
204740,1,1
209003,1,1
213500,1,1
217771,1,1
222031,1,1
226256,1,1
230621,1,1
234951,1,1
239240,1,1
243518,1,2
247865,1,2
252439,1,6
256794,1,5
261160,1,1
265437,1,9
269800,1,1
274194,1,1
278690,1,2
282848,1,1
287295,1,1
291726,1,1
296132,1,1
300433,1,2
