"timeMillisSpent","calculateCountPerSecond"
4333,46
4333,1000
8761,2
8762,1000
13398,77
17799,0
22325,0
26646,0
31039,0
35488,0
40052,0
44389,0
48690,0
53153,0
57384,0
61742,0
66103,1
70449,0
74784,0
79332,0
83620,0
88105,0
92340,0
96692,1
101063,0
105620,0
109883,0
114182,0
118576,0
123132,0
127439,0
131827,0
136063,0
140452,0
144820,0
149175,0
153526,0
157829,0
162029,0
166355,0
170890,0
175171,1
179503,0
183774,0
188119,0
192502,0
192502,1000
197084,2
201394,0
205538,0
209812,0
214208,0
218670,0
223042,0
227375,0
231929,0
236308,0
240617,0
245052,0
249430,0
253925,0
258455,1
262893,0
267441,0
267441,3000
271975,2
271975,1000
276350,32
280847,0
285304,0
285305,2000
289770,0
294092,0
298465,0
302779,0
