"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
6,1,2
7,1,3
7,1,2
7,1,2
7,1,1
7,1,5
7,1,9
7,1,3
8,1,1
8,1,5
8,1,3
8,1,9
8,1,1
8,1,1
8,1,5
9,1,6
9,1,1
9,1,1
9,1,1
9,1,1
9,1,1
9,1,2
9,1,1
9,1,1
10,1,2
10,1,2
10,1,1
10,1,3
10,1,2
10,1,1
10,1,1
10,1,2
11,1,3
11,1,1
11,1,3
11,1,3
11,1,2
12,1,3
12,1,1
12,1,1
12,1,1
12,1,1
12,1,1
12,1,1
12,1,2
12,1,1
13,1,1
13,1,3
13,1,1
13,1,1
13,1,3
13,1,2
13,1,7
14,1,2
14,1,1
14,1,2
14,1,2
14,1,1
14,1,3
14,1,1
14,1,6
4333,1,3
4333,1,1
4333,1,1
4334,1,1
4334,1,1
4334,1,2
4334,1,1
4334,1,1
4334,1,3
4335,1,1
8761,1,1
8762,1,1
8762,1,8
8763,1,5
8763,1,3
8763,1,3
8764,1,6
8764,1,1
8764,1,1
8764,1,1
8765,1,2
8765,1,2
8765,1,1
8766,1,3
8766,1,1
8766,1,2
8766,1,1
8767,1,5
8767,1,1
8767,1,3
8767,1,2
8767,1,2
8768,1,2
8768,1,3
8768,1,2
8768,1,1
8769,1,6
8769,1,1
8769,1,1
8769,1,2
8769,1,1
8769,1,2
8770,1,1
8770,1,4
8770,1,5
8771,1,3
8771,1,3
8771,1,1
8771,1,1
8771,1,2
8772,1,1
8772,1,4
8772,1,1
8772,1,1
8772,1,1
8773,1,1
8773,1,3
8773,1,9
8773,1,2
8774,1,4
8774,1,2
8774,1,1
8774,1,2
8774,1,2
8775,1,1
8775,1,4
8775,1,1
8775,1,2
8776,1,1
8776,1,1
8776,1,4
8776,1,4
8776,1,2
8777,1,3
8777,1,6
8777,1,1
8778,1,5
8778,1,5
8779,1,1
8779,1,4
8779,1,3
8779,1,3
8779,1,2
8780,1,3
8780,1,2
8780,1,3
8780,1,3
8780,1,3
8781,1,2
8781,1,1
8781,1,6
8781,1,1
8781,1,2
8782,1,1
8782,1,3
8782,1,1
8782,1,1
8782,1,4
8782,1,2
8783,1,1
8783,1,2
8783,1,1
8783,1,1
8783,1,3
8783,1,2
8784,1,1
8784,1,2
8784,1,8
8784,1,3
8785,1,6
8785,1,2
8785,1,1
8785,1,4
8785,1,2
8785,1,1
8786,1,8
8786,1,1
8786,1,1
8786,1,4
8787,1,2
8787,1,5
8787,1,5
8787,1,1
8788,1,7
8788,1,1
8788,1,2
8788,1,3
8788,1,1
8788,1,2
8789,1,1
8789,1,4
8789,1,2
8789,1,1
8789,1,1
8789,1,1
8790,1,1
8790,1,2
8790,1,2
8790,1,1
8790,1,5
8791,1,2
8791,1,2
8791,1,4
8791,1,1
8791,1,2
8791,1,4
8792,1,1
8792,1,3
8792,1,2
8792,1,2
8792,1,2
8792,1,1
8793,1,2
8793,1,2
8793,1,3
8793,1,3
13398,1,1
17799,1,2
22325,1,1
26646,1,1
31039,1,1
35488,1,1
40052,1,2
44389,1,1
48690,1,1
53153,1,1
57384,1,1
61742,1,2
66103,1,7
70449,1,2
74784,1,2
79332,1,2
83620,1,2
88105,1,4
92340,1,1
96692,1,6
101063,1,2
105620,1,1
109883,1,3
114182,1,3
118576,1,2
123132,1,2
127439,1,1
131827,1,2
136063,1,2
140452,1,1
144820,1,4
149175,1,2
153526,1,1
157829,1,2
162029,1,1
166355,1,1
170890,1,1
175171,1,8
179503,1,2
183774,1,1
188119,1,2
192502,1,1
192502,1,1
192502,1,4
192503,1,3
192503,1,1
197084,1,2
201394,1,1
205539,1,1
209812,1,1
214208,1,1
218670,1,3
223042,1,3
227375,1,2
231929,1,3
236308,1,1
240617,1,2
245052,1,1
249430,1,4
253925,1,3
258455,1,5
262893,1,2
267441,1,2
267441,1,3
267441,1,2
267441,1,3
271975,1,5
271975,1,1
271976,1,3
271976,1,1
271976,1,5
271976,1,2
271976,1,1
271977,1,1
271977,1,11
271977,1,3
271977,1,5
271978,1,3
271978,1,2
271978,1,2
271978,1,1
271978,1,3
271979,1,1
271979,1,3
271979,1,1
271979,1,4
271979,1,1
271979,1,3
271980,1,8
271980,1,1
271980,1,6
271981,1,8
271981,1,2
271981,1,3
271981,1,3
271982,1,7
271982,1,1
271982,1,1
271982,1,3
271982,1,3
271982,1,5
271983,1,1
271983,1,1
271983,1,3
271983,1,1
271983,1,4
271983,1,1
271983,1,3
271984,1,1
271984,1,1
271984,1,2
271984,1,2
271984,1,5
271984,1,2
271984,1,1
271984,1,2
271985,1,2
271985,1,1
276350,1,1
280847,1,1
285304,1,1
285305,1,2
289770,1,3
294092,1,1
298465,1,2
302779,1,2
