"timeMillisSpent","calculateCountPerSecond"
4510,41
8836,0
13099,0
13101,1000
17634,0
17636,500
21869,1
26285,0
26288,333
30725,2
35190,0
39561,0
39563,1500
43890,7
48178,0
52447,1
56826,0
61446,0
65746,0
70135,0
74349,0
74351,500
78571,5
82832,0
87227,0
87232,200
91728,1
91730,1000
96451,39
96455,250
101016,4
105253,0
109834,0
109838,250
114289,18
118684,0
123078,0
127366,0
131772,0
135960,0
140562,0
144872,0
149387,0
153647,0
157991,0
157992,2000
162215,15
166774,0
175667,0
180085,0
184316,0
184318,500
188494,1
193062,0
197327,0
201613,0
201616,1000
206046,3
210274,0
214501,0
218991,0
223431,0
227828,0
227829,1000
232344,62
236697,0
240999,0
245313,0
249620,0
253836,0
258404,0
262786,0
267336,0
271584,0
275891,0
275894,333
280359,2
284768,0
284770,2500
289243,4
293515,0
297679,0
301981,0
