"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
37,1,10
43,1,4
47,1,1
51,1,1
53,1,1
55,1,10
56,1,3
58,1,4
59,1,5
60,1,2
62,1,4
63,1,3
64,1,4
66,1,2
67,1,4
68,1,1
70,1,2
71,1,9
72,1,3
74,1,2
75,1,1
77,1,1
79,1,1
81,1,1
82,1,11
83,1,1
85,1,5
87,1,4
88,1,2
90,1,2
91,1,1
92,1,2
93,1,3
95,1,8
96,1,2
97,1,2
98,1,1
99,1,1
4510,1,2
8836,1,1
13099,1,1
13101,1,2
17634,1,1
17636,1,1
21869,1,7
26285,1,2
26288,1,1
26292,1,1
26295,1,1
26297,1,5
30725,1,4
35190,1,1
39561,1,2
39563,1,3
39564,1,1
39565,1,3
39566,1,5
39570,1,5
39572,1,1
39573,1,1
39575,1,2
39576,1,1
39577,1,8
39578,1,1
39580,1,2
39581,1,1
39582,1,1
39583,1,1
43890,1,1
48178,1,1
52447,1,7
56826,1,1
61446,1,2
65746,1,2
70135,1,1
74349,1,1
74351,1,1
74352,1,2
74353,1,1
74354,1,1
74355,1,2
74356,1,1
74357,1,3
74358,1,3
74359,1,1
74360,1,1
74361,1,2
74362,1,3
74363,1,2
74367,1,2
78571,1,1
82832,1,1
87227,1,1
87232,1,1
87234,1,4
91728,1,1
91730,1,2
91732,1,3
91736,1,2
91739,1,1
91742,1,1
91744,1,2
91746,1,2
91748,1,1
91749,1,1
91751,1,2
91752,1,1
91754,1,1
91755,1,1
91757,1,2
91758,1,2
91760,1,1
91761,1,2
91763,1,1
91764,1,2
91766,1,1
91767,1,1
91771,1,1
91773,1,2
91774,1,2
91775,1,1
91777,1,2
91778,1,3
91780,1,3
91781,1,2
91783,1,2
91784,1,1
91786,1,1
91787,1,1
91789,1,1
91790,1,4
91792,1,2
91793,1,1
91795,1,2
91796,1,1
91798,1,3
91799,1,5
91801,1,2
91802,1,1
91804,1,1
91805,1,1
91806,1,1
91808,1,1
91810,1,1
91812,1,1
91813,1,2
91815,1,1
91816,1,1
91817,1,2
91819,1,1
91821,1,4
91822,1,1
91824,1,2
91825,1,4
91827,1,4
91828,1,1
91830,1,2
91831,1,1
91833,1,1
91835,1,1
91836,1,1
91838,1,5
91839,1,6
91841,1,2
91842,1,1
91844,1,1
91845,1,2
91847,1,1
91849,1,1
91851,1,2
91852,1,9
91854,1,2
91855,1,4
91857,1,3
91858,1,1
91860,1,2
91861,1,2
91863,1,1
91864,1,1
91866,1,1
91867,1,1
91868,1,1
91870,1,3
91871,1,2
91873,1,3
91874,1,1
91875,1,2
91876,1,1
91878,1,2
91879,1,2
91880,1,2
91881,1,1
91883,1,1
91884,1,2
91885,1,5
91887,1,3
96451,1,1
96455,1,1
96459,1,3
96461,1,2
96462,1,2
96463,1,1
96465,1,1
96466,1,1
96467,1,2
96468,1,3
96470,1,1
101016,1,4
105253,1,1
109834,1,1
109838,1,1
109841,1,1
109845,1,1
109848,1,3
109851,1,1
109853,1,1
109854,1,1
109855,1,1
109857,1,1
109858,1,3
109859,1,1
109861,1,1
109862,1,3
109863,1,2
109865,1,2
109867,1,5
109868,1,5
109869,1,3
109871,1,6
109872,1,3
109873,1,1
109875,1,4
109876,1,2
109877,1,2
109879,1,7
109880,1,2
109881,1,1
109882,1,2
109884,1,7
109885,1,6
109886,1,1
109887,1,2
114290,1,2
118684,1,1
123078,1,1
127366,1,1
131772,1,1
135960,1,1
140562,1,2
144872,1,1
149387,1,3
153647,1,1
157991,1,4
157992,1,2
157994,1,2
157995,1,1
157996,1,1
157998,1,4
157999,1,2
158000,1,1
158002,1,2
158003,1,1
158004,1,4
158006,1,1
158007,1,1
158008,1,1
158009,1,3
158011,1,1
158012,1,2
158013,1,1
158015,1,3
158016,1,2
158017,1,1
158018,1,1
158020,1,1
158021,1,1
158022,1,1
158025,1,1
158026,1,3
158027,1,8
158028,1,1
158030,1,2
158031,1,2
158032,1,1
158033,1,4
158034,1,2
158035,1,2
158036,1,1
162215,1,1
166774,1,1
175667,1,4
180085,1,1
184316,1,1
184318,1,1
184319,1,1
184320,1,3
188494,1,4
193062,1,2
197327,1,1
201613,1,1
201616,1,3
201620,1,1
201624,1,2
201627,1,1
201630,1,1
201631,1,1
201632,1,2
201633,1,4
201635,1,2
201636,1,1
206046,1,1
210274,1,1
214501,1,1
218991,1,1
223431,1,2
227828,1,2
227829,1,1
227830,1,1
227831,1,1
227832,1,2
227833,1,1
227834,1,4
227835,1,1
227836,1,1
227837,1,1
227838,1,2
227840,1,1
227841,1,3
227843,1,1
227844,1,1
227846,1,1
227848,1,1
227849,1,1
227851,1,1
227852,1,2
227853,1,1
227854,1,1
227855,1,6
227856,1,1
227858,1,4
227859,1,2
227860,1,2
227861,1,2
227863,1,1
227864,1,4
227865,1,4
227867,1,2
227868,1,2
227869,1,3
227871,1,1
227872,1,4
227873,1,1
227875,1,1
227876,1,3
227878,1,1
227879,1,1
227881,1,1
227883,1,2
227884,1,1
227886,1,2
227889,1,1
227890,1,1
227892,1,4
227893,1,3
227895,1,4
227896,1,1
227897,1,6
227899,1,4
227900,1,1
227902,1,6
227903,1,1
227904,1,6
227906,1,2
227907,1,2
227909,1,1
227910,1,1
227912,1,1
227914,1,3
227915,1,2
227917,1,1
227918,1,1
227920,1,2
227921,1,1
227923,1,1
227924,1,1
227926,1,1
227927,1,1
227928,1,1
227930,1,1
227931,1,1
227932,1,4
227934,1,1
227935,1,4
227936,1,2
227938,1,7
227939,1,2
227940,1,3
227942,1,2
227944,1,2
227946,1,1
227947,1,8
227948,1,6
227950,1,1
227951,1,2
227952,1,1
227954,1,2
227955,1,1
227956,1,2
227958,1,2
227959,1,2
227961,1,1
227962,1,1
227963,1,2
227965,1,2
227966,1,1
227968,1,2
227969,1,7
227971,1,1
227973,1,3
227975,1,1
227976,1,1
227978,1,4
227979,1,1
227980,1,1
227981,1,1
227983,1,3
227984,1,1
227985,1,1
227987,1,4
227988,1,1
227989,1,1
227991,1,2
227992,1,1
227993,1,1
227995,1,2
227996,1,6
227998,1,1
228000,1,3
228003,1,1
228004,1,1
228006,1,1
228008,1,1
228011,1,2
228013,1,2
228015,1,1
228018,1,5
228020,1,2
228023,1,1
228025,1,2
228028,1,7
228030,1,5
232344,1,1
236697,1,2
240999,1,1
245313,1,1
249620,1,1
253836,1,1
258404,1,2
262786,1,1
267336,1,1
271584,1,1
275891,1,1
275894,1,1
275898,1,1
275901,1,2
275904,1,3
275908,1,3
275912,1,1
280359,1,1
284768,1,3
284771,1,5
284776,1,1
284777,1,2
284779,1,5
284780,1,1
284781,1,1
284782,1,1
284784,1,4
289243,1,3
293515,1,2
297679,1,1
301981,1,1
