"timeMillisSpent","score"
37,"-1hard/-1medium/-2147483647soft"
43,"-1hard/-1medium/-2147483647soft"
47,"-1hard/-1medium/-2147483647soft"
51,"-1hard/-1medium/-2147483647soft"
53,"-1hard/-1medium/-2147483647soft"
55,"-1hard/-1medium/-2147483647soft"
56,"-1hard/-1medium/-2147483647soft"
58,"-1hard/-1medium/-2147483647soft"
59,"-1hard/-1medium/-2147483647soft"
60,"-1hard/-1medium/-2147483647soft"
62,"-1hard/-1medium/-2147483647soft"
63,"-1hard/-1medium/-2147483647soft"
64,"-1hard/-1medium/-2147483647soft"
66,"-1hard/-1medium/-2147483647soft"
67,"-1hard/-1medium/-2147483647soft"
68,"-1hard/-1medium/-2147483647soft"
70,"-1hard/-1medium/-2147483647soft"
71,"-1hard/-1medium/-2147483647soft"
72,"-1hard/-1medium/-2147483647soft"
74,"-1hard/-1medium/-2147483647soft"
75,"-1hard/-1medium/-2147483647soft"
77,"-1hard/-1medium/-2147483647soft"
79,"-1hard/-1medium/-2147483647soft"
81,"-1hard/-1medium/-2147483647soft"
82,"-1hard/-1medium/-2147483647soft"
83,"-1hard/-1medium/-2147483647soft"
85,"-1hard/-1medium/-2147483647soft"
87,"-1hard/-1medium/-2147483647soft"
88,"-1hard/-1medium/-2147483647soft"
90,"-1hard/-1medium/-2147483647soft"
91,"-1hard/-1medium/-2147483647soft"
92,"-1hard/-1medium/-2147483647soft"
93,"-1hard/-1medium/-2147483647soft"
95,"-1hard/-1medium/-2147483647soft"
96,"-1hard/-1medium/-2147483647soft"
97,"-1hard/-1medium/-2147483647soft"
98,"-1hard/-1medium/-2147483647soft"
99,"-1hard/-1medium/-2147483647soft"
4510,"0hard/-1medium/-405soft"
8836,"0hard/-1medium/-405soft"
13099,"0hard/-1medium/-405soft"
13101,"-1hard/-1medium/-2147483647soft"
17634,"0hard/-1medium/-419soft"
17636,"-1hard/-1medium/-2147483647soft"
21869,"0hard/-3medium/-412soft"
26285,"0hard/-3medium/-412soft"
26288,"-1hard/-1medium/-2147483647soft"
26292,"-1hard/-1medium/-2147483647soft"
26295,"-1hard/-1medium/-2147483647soft"
26297,"-1hard/-1medium/-2147483647soft"
30725,"0hard/-1medium/-409soft"
35190,"0hard/-1medium/-409soft"
39561,"0hard/-1medium/-411soft"
39563,"-1hard/-1medium/-2147483647soft"
39564,"-1hard/-1medium/-2147483647soft"
39565,"-1hard/-1medium/-2147483647soft"
39566,"-1hard/-1medium/-2147483647soft"
39570,"-1hard/-1medium/-2147483647soft"
39572,"-1hard/-1medium/-2147483647soft"
39573,"-1hard/-1medium/-2147483647soft"
39575,"-1hard/-1medium/-2147483647soft"
39576,"-1hard/-1medium/-2147483647soft"
39577,"-1hard/-1medium/-2147483647soft"
39578,"-1hard/-1medium/-2147483647soft"
39580,"-1hard/-1medium/-2147483647soft"
39581,"-1hard/-1medium/-2147483647soft"
39582,"-1hard/-1medium/-2147483647soft"
39583,"-1hard/-1medium/-2147483647soft"
43890,"0hard/-4medium/-441soft"
48178,"0hard/-4medium/-463soft"
52447,"0hard/-4medium/-463soft"
56826,"0hard/-4medium/-461soft"
61446,"0hard/-4medium/-461soft"
65746,"0hard/-4medium/-461soft"
70135,"0hard/-3medium/-400soft"
74349,"0hard/-3medium/-381soft"
74351,"-1hard/0medium/-2147483647soft"
74352,"-1hard/0medium/-2147483647soft"
74353,"-1hard/0medium/-2147483647soft"
74354,"-1hard/0medium/-2147483647soft"
74355,"-1hard/0medium/-2147483647soft"
74356,"-1hard/0medium/-2147483647soft"
74357,"-1hard/0medium/-2147483647soft"
74358,"-1hard/0medium/-2147483647soft"
74359,"-1hard/0medium/-2147483647soft"
74360,"-1hard/-1medium/-2147483647soft"
74361,"-1hard/0medium/-2147483647soft"
74362,"-1hard/0medium/-2147483647soft"
74363,"-1hard/0medium/-2147483647soft"
74367,"-1hard/0medium/-2147483647soft"
78571,"0hard/-1medium/-397soft"
82832,"0hard/-1medium/-409soft"
87227,"0hard/-1medium/-409soft"
87232,"-1hard/-1medium/-2147483647soft"
87234,"-1hard/-1medium/-2147483647soft"
91728,"0hard/-1medium/-416soft"
91730,"-1hard/-1medium/-2147483647soft"
91732,"-1hard/-1medium/-2147483647soft"
