"timeMillisSpent","calculateCountPerSecond"
4206,23
8534,0
12821,0
17195,0
21404,0
25687,0
25687,1000
30096,1
34504,0
38831,0
43033,0
43034,1000
47447,1
51752,0
56059,0
60571,0
64859,0
69269,0
73729,0
78079,0
78079,1000
82421,1
82421,2000
86884,3
91359,0
95769,0
100124,0
104376,0
104377,2000
108618,0
112877,0
112878,1000
117243,4
117244,2000
121644,5
125963,0
125963,2000
130291,4
134533,0
138887,0
138887,3000
143251,0
147532,0
151863,1
156313,0
160675,0
164990,0
169565,0
173972,0
173972,1000
178534,0
178534,1000
182819,14
182820,3000
187183,1
191602,0
196137,0
200568,0
204969,0
209528,0
213980,0
218543,0
222955,0
227097,0
231610,1
236015,0
236015,2000
240466,11
244866,0
249124,0
249124,2000
253396,2
257671,0
257672,1000
262136,0
266402,0
270662,0
275254,0
275255,1000
279709,4
283976,0
283976,2000
288531,85
288531,1000
292757,9
292757,4000
297292,12
301640,0
