"timeMillisSpent","usedMemory","maxMemory"
4206,5089536,1834483712
8534,5089536,1834483712
12821,5089536,1834483712
17195,6119040,1834483712
21404,6119496,1834483712
25687,6119952,1834483712
25687,6119952,1834483712
30096,6120408,1834483712
34504,6120864,1834483712
38831,7142632,1834483712
43033,7145152,1834483712
43034,7145152,1834483712
47447,7145152,1834483712
51752,7145152,1834483712
56059,8166464,1834483712
60571,8166920,1834483712
64859,8167376,1834483712
69269,8167832,1834483712
73729,8168288,1834483712
78079,9181880,1834483712
78079,9181880,1834483712
82421,9184400,1834483712
82421,9184400,1834483712
86884,9184400,1834483712
91359,9184400,1834483712
95769,10205712,1834483712
100124,10206168,1834483712
104376,10206624,1834483712
104377,10206624,1834483712
108618,10207080,1834483712
112877,10207536,1834483712
112878,11220656,1834483712
117243,11221112,1834483712
117244,11221112,1834483712
121644,12244944,1834483712
125963,12244944,1834483712
125963,12244944,1834483712
130291,12244944,1834483712
134533,12244944,1834483712
138887,13266712,1834483712
138887,13266712,1834483712
143251,13267168,1834483712
147532,13267624,1834483712
151863,13268080,1834483712
156313,13268536,1834483712
160675,14284176,1834483712
164990,14284176,1834483712
169565,14284176,1834483712
173972,14284176,1834483712
173972,14284176,1834483712
178534,15297992,1834483712
178534,15297992,1834483712
182819,16311576,1834483712
182820,16311576,1834483712
187183,16312032,1834483712
191602,16312488,1834483712
196137,16312944,1834483712
200568,17336776,1834483712
204969,17336776,1834483712
209528,17336776,1834483712
213980,17336776,1834483712
218543,17337232,1834483712
222955,18354752,1834483712
227097,18355208,1834483712
231610,18355664,1834483712
236015,18356120,1834483712
236015,18356120,1834483712
240466,19371768,1834483712
244866,19371768,1834483712
249124,20384936,1834483712
249124,20384936,1834483712
253396,20384936,1834483712
257671,20385392,1834483712
257672,20385392,1834483712
262136,20385848,1834483712
266402,21399456,1834483712
270662,21399912,1834483712
275254,21400368,1834483712
275255,21400368,1834483712
279709,21402888,1834483712
283976,22432392,1834483712
283976,22432392,1834483712
288531,27502152,1834483712
288531,27502152,1834483712
292757,28515672,1834483712
292757,28515672,1834483712
297292,29529320,1834483712
301640,29529776,1834483712
