"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
8,1,8
8,1,4
9,1,5
9,1,1
9,1,3
9,1,1
10,1,2
10,1,1
10,1,7
10,1,1
10,1,1
11,1,1
11,1,2
4206,1,2
8534,1,1
12821,1,2
17195,1,2
21404,1,2
25687,1,2
25687,1,1
25687,1,2
25687,1,2
30096,1,1
34504,1,1
38831,1,1
43034,1,3
43034,1,1
43034,1,2
43034,1,1
43034,1,1
47447,1,1
51752,1,1
56059,1,2
60571,1,2
64859,1,4
69269,1,1
73729,1,1
78079,1,2
78079,1,1
78080,1,3
78080,1,1
82421,1,1
82421,1,2
82421,1,4
82422,1,4
82422,1,2
82422,1,1
82422,1,1
82422,1,1
86884,1,3
91360,1,1
95769,1,1
100124,1,2
104376,1,1
104377,1,2
104377,1,3
108618,1,1
112877,1,2
112878,1,1
112878,1,1
112878,1,5
112878,1,1
112879,1,2
112879,1,2
112879,1,1
112879,1,2
112879,1,3
117243,1,1
117244,1,2
117245,1,5
117245,1,1
117246,1,1
117246,1,1
117247,1,2
117247,1,5
117248,1,4
121644,1,3
125963,1,1
125963,1,2
125963,1,2
125963,1,1
125964,1,3
125964,1,2
125964,1,1
125964,1,2
125964,1,3
125965,1,1
130291,1,4
134533,1,2
138887,1,1
138887,1,3
143251,1,1
147532,1,4
151863,1,5
156313,1,1
160675,1,2
164990,1,1
169565,1,3
173972,1,1
173972,1,1
178534,1,4
178534,1,1
178534,1,1
178535,1,1
178535,1,1
178535,1,3
178536,1,3
178536,1,3
178536,1,2
178537,1,6
178537,1,3
178537,1,1
178538,1,1
178538,1,1
178538,1,5
178539,1,3
178539,1,1
178539,1,2
178539,1,1
178540,1,2
178540,1,4
178541,1,4
178541,1,1
178541,1,2
178541,1,5
178541,1,2
178542,1,1
182819,1,1
182820,1,3
182821,1,2
182822,1,2
182822,1,1
187183,1,1
191602,1,1
196137,1,1
200568,1,1
204969,1,3
209528,1,1
213980,1,3
218543,1,2
222955,1,1
227097,1,1
231610,1,5
236015,1,3
236015,1,2
236015,1,1
236015,1,1
236016,1,5
236016,1,4
236017,1,9
236017,1,2
236017,1,1
236017,1,1
236017,1,4
236017,1,2
236018,1,2
236018,1,2
236018,1,2
236018,1,4
236018,1,1
236018,1,1
236018,1,1
236018,1,1
236018,1,4
236019,1,1
240466,1,4
244866,1,1
249124,1,1
249124,1,2
249125,1,4
253396,1,5
257671,1,1
257672,1,1
262136,1,1
266402,1,1
270662,1,2
275254,1,2
275255,1,1
275255,1,5
275255,1,1
275256,1,6
275256,1,1
275256,1,2
279709,1,3
283976,1,1
283976,1,2
283976,1,4
283977,1,5
283977,1,2
283978,1,3
283978,1,1
283978,1,2
283978,1,2
283979,1,5
283979,1,3
283979,1,2
283980,1,2
283980,1,2
283980,1,3
283981,1,1
283981,1,1
283981,1,4
283981,1,1
283982,1,7
283982,1,2
283982,1,1
283983,1,8
283984,1,8
283984,1,3
283984,1,2
283984,1,3
283985,1,1
283985,1,1
283985,1,2
283985,1,2
283986,1,1
283986,1,11
283987,1,1
283987,1,1
283987,1,1
283988,1,20
283988,1,3
283989,1,1
283989,1,5
283989,1,1
283989,1,5
283990,1,3
283990,1,3
283990,1,1
283990,1,1
283990,1,2
283991,1,6
283991,1,2
283991,1,1
283991,1,8
283991,1,1
283992,1,1
283992,1,1
283992,1,2
283992,1,4
283992,1,1
283993,1,5
283993,1,5
283993,1,7
283993,1,4
283994,1,5
283994,1,2
283994,1,1
283994,1,5
283994,1,2
283994,1,4
283994,1,2
283995,1,3
283995,1,2
283995,1,3
283995,1,6
283995,1,2
283995,1,3
283995,1,1
283996,1,3
283996,1,7
283996,1,2
283996,1,2
283996,1,4
283996,1,6
283997,1,2
283997,1,6
283997,1,4
283997,1,1
283997,1,1
283997,1,3
283997,1,4
283998,1,1
283998,1,2
283998,1,3
283998,1,1
283998,1,5
283998,1,4
283998,1,1
283998,1,1
283999,1,2
283999,1,4
283999,1,2
283999,1,3
283999,1,1
283999,1,2
284000,1,7
284000,1,1
284000,1,5
284000,1,5
284000,1,1
284000,1,1
284001,1,1
284001,1,2
284004,1,6
284005,1,8
284005,1,6
284005,1,3
284006,1,6
284006,1,2
284006,1,7
284006,1,8
284007,1,1
284007,1,2
284007,1,1
284007,1,1
284007,1,1
284007,1,1
284008,1,1
284008,1,3
288531,1,2
288531,1,1
288532,1,2
288532,1,4
288532,1,1
288532,1,10
288533,1,1
288533,1,1
288533,1,1
288533,1,4
288533,1,1
288534,1,1
288534,1,4
288534,1,2
288534,1,1
288534,1,1
288534,1,1
288535,1,2
288535,1,1
292757,1,2
292757,1,4
292757,1,3
292757,1,1
292757,1,5
292758,1,1
292758,1,6
292758,1,3
292758,1,1
292758,1,3
292758,1,2
292759,1,2
292759,1,1
292759,1,4
292759,1,3
292759,1,4
292760,1,5
292760,1,2
292760,1,2
292761,1,2
292761,1,4
292762,1,1
292762,1,2
297292,1,1
301640,1,1
