"timeMillisSpent","usedMemory","maxMemory"
4398,5983776,1834483712
8759,6426248,1834483712
13285,6426248,1834483712
17547,6872968,1834483712
21955,6872968,1834483712
26210,7314472,1834483712
30582,7314472,1834483712
34991,7761192,1834483712
39358,7761192,1834483712
43655,8200168,1834483712
47968,8200168,1834483712
52374,8638704,1834483712
56699,9085424,1834483712
61332,9085424,1834483712
65632,9532672,1834483712
70081,9532672,1834483712
74368,9979392,1834483712
78565,9979392,1834483712
82917,10426112,1834483712
87307,10426112,1834483712
91564,10864648,1834483712
95978,10864648,1834483712
100187,11307272,1834483712
100188,11307272,1834483712
104557,12187336,1834483712
108934,12187336,1834483712
113356,12634056,1834483712
117525,12634056,1834483712
121816,13080776,1834483712
126189,13080776,1834483712
126190,13080776,1834483712
130642,13963792,1834483712
130642,13963792,1834483712
134983,14849064,1834483712
134984,14849064,1834483712
139319,14849064,1834483712
143667,15287928,1834483712
147963,15287928,1834483712
152309,15726472,1834483712
156693,15726472,1834483712
160982,16165696,1834483712
165299,16612416,1834483712
169585,16612416,1834483712
173687,17059136,1834483712
178028,17059136,1834483712
178028,17059136,1834483712
182304,17497664,1834483712
186498,17944384,1834483712
186498,17944384,1834483712
190808,17944384,1834483712
195147,18384392,1834483712
199511,18384392,1834483712
203918,18823320,1834483712
203918,18823320,1834483712
208270,21488080,1834483712
212795,21488080,1834483712
217195,21934800,1834483712
217196,21934800,1834483712
221522,22836464,1834483712
225834,22836464,1834483712
225835,22836464,1834483712
230183,25033216,1834483712
230183,25033216,1834483712
234569,25479936,1834483712
238890,25479936,1834483712
238891,25479936,1834483712
243180,25918480,1834483712
243180,25918480,1834483712
247678,26804264,1834483712
247679,26804264,1834483712
251948,26804264,1834483712
251949,26804264,1834483712
256365,28145224,1834483712
256365,28145224,1834483712
260857,29046872,1834483712
265215,29046872,1834483712
269520,29509992,1834483712
273927,29509992,1834483712
282715,29981320,1834483712
287133,30428040,1834483712
287133,30428040,1834483712
291387,30428040,1834483712
295761,30866576,1834483712
300051,31313296,1834483712
