"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
7,1,9
8,1,17
8,1,1
8,1,2
9,1,9
9,1,1
9,1,9
9,1,1
10,1,3
10,1,3
10,1,5
10,1,1
10,1,2
11,1,10
11,1,2
11,1,1
12,1,3
12,1,5
12,1,5
12,1,1
13,1,6
13,1,1
13,1,3
13,1,2
14,1,9
14,1,3
14,1,1
14,1,3
15,1,4
15,1,1
15,1,4
15,1,4
16,1,10
16,1,4
16,1,1
4398,1,1
8759,1,4
13285,1,2
17547,1,1
21955,1,2
26210,1,1
30582,1,4
34991,1,1
39358,1,1
43655,1,3
47968,1,4
52374,1,4
56699,1,1
61332,1,3
65632,1,3
70081,1,2
74368,1,4
78565,1,4
82917,1,1
87307,1,5
91564,1,1
95978,1,1
100187,1,1
100188,1,1
100189,1,1
100189,1,3
100190,1,1
100192,1,11
100193,1,1
100194,1,8
100195,1,2
100196,1,1
100196,1,2
100196,1,6
104557,1,1
108934,1,1
113356,1,2
117525,1,1
121816,1,1
126189,1,1
126190,1,2
126191,1,2
126192,1,1
126194,1,4
126195,1,1
126195,1,1
126196,1,1
126198,1,8
126198,1,1
126199,1,1
130642,1,5
130642,1,2
130642,1,3
130643,1,3
130643,1,2
130644,1,7
130644,1,1
130644,1,4
130644,1,1
130645,1,3
130645,1,1
130645,1,3
130645,1,4
130645,1,3
134983,1,2
134984,1,3
134985,1,2
134985,1,1
134985,1,2
139319,1,2
143667,1,2
147963,1,2
152309,1,2
156693,1,1
160982,1,1
165299,1,2
169585,1,2
173687,1,2
178028,1,2
178028,1,1
178029,1,4
178029,1,3
178030,1,3
178030,1,1
182304,1,1
186498,1,1
186498,1,2
186498,1,1
186498,1,1
186499,1,1
190808,1,2
195147,1,1
199511,1,2
203918,1,4
203918,1,5
203919,1,3
203919,1,1
203919,1,2
203919,1,5
203920,1,3
203920,1,1
203920,1,4
203920,1,2
203920,1,1
203921,1,2
203921,1,3
203921,1,2
203921,1,1
203921,1,3
203922,1,2
203922,1,2
203922,1,3
203922,1,1
203922,1,3
203923,1,1
203923,1,2
203923,1,1
203923,1,1
203924,1,1
203924,1,1
203924,1,1
203924,1,1
203925,1,4
203925,1,1
203925,1,1
203926,1,6
203926,1,6
203926,1,1
203927,1,3
203927,1,2
203927,1,1
203927,1,1
203928,1,3
203928,1,1
203928,1,1
203929,1,3
203929,1,2
203929,1,3
203929,1,1
203930,1,5
203931,1,8
203931,1,3
203931,1,1
203931,1,2
203932,1,4
203932,1,1
203932,1,5
203933,1,2
203933,1,1
203933,1,2
203933,1,1
203934,1,1
203934,1,1
203934,1,1
208270,1,3
212795,1,2
217195,1,2
217196,1,1
217196,1,2
217197,1,2
217197,1,2
217197,1,1
217198,1,3
217198,1,3
217198,1,1
217199,1,2
217199,1,1
217200,1,2
217200,1,2
217200,1,2
217201,1,1
217201,1,1
217201,1,1
217202,1,1
217202,1,6
221522,1,2
225834,1,3
225835,1,2
225836,1,3
225836,1,2
225837,1,2
225837,1,3
225838,1,3
225838,1,1
225839,1,2
225839,1,6
225840,1,2
225840,1,2
225841,1,2
225841,1,2
225842,1,3
225842,1,4
225843,1,4
225843,1,2
225844,1,1
225844,1,1
225844,1,2
225845,1,3
225846,1,11
225847,1,6
225847,1,1
225847,1,1
225848,1,7
225848,1,1
225848,1,3
225849,1,2
225849,1,1
225849,1,1
225849,1,1
225849,1,4
225850,1,11
225850,1,1
225850,1,9
225850,1,1
225851,1,2
225851,1,2
225851,1,1
225851,1,2
225851,1,1
225852,1,5
225852,1,3
225852,1,2
230183,1,4
230183,1,1
230183,1,1
234569,1,1
238890,1,3
238891,1,1
238891,1,4
238892,1,4
238892,1,4
243180,1,6
243180,1,1
243181,1,1
243181,1,1
243181,1,3
243182,1,2
243182,1,2
243183,1,10
247678,1,5
247679,1,2
247679,1,2
251948,1,1
251949,1,3
251950,1,1
251950,1,3
251951,1,1
251951,1,4
251952,1,5
251952,1,2
251952,1,1
251953,1,2
251953,1,7
251953,1,4
251954,1,1
251954,1,2
251954,1,3
251955,1,2
251955,1,4
251955,1,2
251956,1,3
251956,1,1
256365,1,2
256365,1,2
256366,1,1
256366,1,10
256367,1,2
256367,1,1
256368,1,5
256368,1,1
256369,1,1
256369,1,1
256370,1,1
256370,1,2
256371,1,2
256372,1,6
256373,1,1
256374,1,2
256375,1,1
256375,1,3
260857,1,1
265215,1,1
269520,1,2
273927,1,1
282715,1,4
287133,1,2
287133,1,1
287133,1,2
287133,1,1
287134,1,2
287134,1,2
291387,1,2
295761,1,4
300051,1,2
