"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
9,1,7
10,1,6
10,1,1
10,1,1
11,1,8
11,1,2
11,1,2
11,1,2
12,1,8
12,1,3
13,1,9
13,1,2
13,1,4
14,1,7
14,1,2
14,1,2
15,1,5
15,1,4
15,1,3
16,1,1
16,1,3
16,1,2
17,1,4
17,1,1
4411,1,2
8780,1,2
13314,1,2
17596,1,1
21852,1,1
26286,1,1
30624,1,2
35060,1,1
39550,1,2
43894,1,2
48283,1,1
52565,1,2
57150,1,1
57151,1,2
61350,1,1
65623,1,1
69811,1,3
74154,1,3
78563,1,2
82957,1,2
87318,1,1
87319,1,1
91692,1,2
91692,1,1
91693,1,2
96225,1,3
96225,1,1
96226,1,2
96227,1,2
96227,1,1
96227,1,1
96228,1,1
96228,1,2
96229,1,2
96229,1,4
96230,1,1
96231,1,4
96231,1,1
96232,1,1
96233,1,4
96234,1,4
96235,1,11
96235,1,6
96236,1,3
96236,1,1
96236,1,1
96236,1,1
96237,1,8
96237,1,2
96237,1,1
100432,1,1
104754,1,2
109230,1,3
113741,1,2
118280,1,1
118281,1,4
118281,1,4
118282,1,1
118282,1,2
118282,1,1
118283,1,2
122815,1,3
127042,1,1
131347,1,1
135739,1,3
135739,1,2
135739,1,1
140201,1,3
144672,1,4
144673,1,1
144673,1,1
144673,1,2
144674,1,3
148886,1,2
148886,1,1
148886,1,1
153172,1,3
157473,1,1
161781,1,1
161782,1,1
165970,1,1
165971,1,3
165972,1,1
165973,1,4
165973,1,1
165974,1,1
165974,1,1
165974,1,1
165975,1,1
165975,1,1
165976,1,3
165976,1,2
165976,1,4
165977,1,2
165977,1,1
165977,1,1
165977,1,1
165978,1,3
165978,1,4
165978,1,2
165979,1,1
165979,1,2
165979,1,4
165980,1,2
165980,1,1
165980,1,2
165980,1,1
165981,1,5
165981,1,1
165981,1,1
165982,1,2
165982,1,3
165982,1,2
165983,1,3
165983,1,2
165983,1,1
165983,1,1
165984,1,2
165984,1,1
165984,1,1
165985,1,1
165985,1,1
165985,1,2
165985,1,2
170301,1,1
170301,1,1
170301,1,1
170302,1,3
170302,1,2
170303,1,1
170303,1,3
170304,1,13
170305,1,1
170305,1,1
170307,1,10
170307,1,4
170307,1,1
170308,1,1
170308,1,2
170308,1,6
170308,1,1
170309,1,2
170309,1,1
170309,1,3
170309,1,1
170310,1,1
170310,1,2
170310,1,4
170311,1,4
170311,1,5
170312,1,2
170312,1,7
170313,1,2
170313,1,2
170313,1,1
170314,1,3
170314,1,3
170314,1,2
170314,1,2
170315,1,1
170315,1,6
170315,1,1
174859,1,1
179249,1,1
183605,1,2
187927,1,1
192325,1,1
196688,1,1
196689,1,4
196689,1,1
201153,1,1
201153,1,1
201154,1,4
201154,1,2
201154,1,1
201155,1,2
201155,1,4
201155,1,2
201156,1,1
201156,1,1
201156,1,5
201157,1,2
201157,1,2
205483,1,5
205484,1,1
205484,1,4
205485,1,1
205485,1,2
205485,1,1
205485,1,3
205486,1,1
205486,1,1
205486,1,1
205486,1,1
205487,1,3
205487,1,2
205487,1,5
205488,1,4
205488,1,3
205489,1,6
205489,1,2
205489,1,2
205490,1,4
205490,1,2
205490,1,2
205490,1,1
205491,1,2
205491,1,9
205492,1,1
205492,1,1
205492,1,1
205492,1,1
205493,1,5
205493,1,6
205493,1,4
205494,1,1
205494,1,3
205494,1,4
205494,1,2
205495,1,3
205495,1,2
205495,1,4
205495,1,1
205496,1,1
205496,1,4
205496,1,4
205496,1,1
205497,1,1
205497,1,2
205497,1,1
205497,1,1
205497,1,1
205498,1,7
205498,1,7
205498,1,2
205499,1,1
205499,1,2
205499,1,1
205499,1,5
205500,1,1
205500,1,1
205500,1,2
205500,1,2
205500,1,1
205501,1,2
205501,1,3
205501,1,7
205501,1,1
205502,1,9
205502,1,1
205502,1,1
205503,1,1
205503,1,2
205503,1,4
205504,1,5
205504,1,4
205504,1,4
205505,1,1
205505,1,4
205505,1,3
205506,1,3
205506,1,4
205506,1,2
205507,1,4
205507,1,4
205507,1,1
205508,1,5
205508,1,5
205508,1,3
205509,1,1
205509,1,1
205509,1,3
205509,1,3
205510,1,2
205510,1,4
205510,1,3
205510,1,3
205511,1,3
205511,1,1
205511,1,8
205511,1,1
205512,1,1
205512,1,2
205512,1,1
205512,1,1
205512,1,2
205513,1,2
205513,1,2
205513,1,1
205513,1,3
205513,1,3
205514,1,1
205514,1,1
205514,1,1
205514,1,1
205514,1,1
205514,1,1
205515,1,1
205515,1,5
205515,1,5
205516,1,10
205516,1,1
205516,1,1
205516,1,6
205517,1,1
205517,1,1
205517,1,2
205517,1,2
205517,1,2
205518,1,3
205518,1,1
205518,1,4
205518,1,4
205519,1,7
205519,1,3
205519,1,4
205520,1,3
205520,1,1
205520,1,4
205521,1,5
205521,1,3
205521,1,6
205522,1,1
205522,1,1
205522,1,8
205523,1,1
205523,1,2
205523,1,2
205523,1,1
205524,1,4
205524,1,1
205524,1,6
205525,1,1
205525,1,1
205525,1,4
205525,1,5
205526,1,6
205526,1,4
205526,1,3
205527,1,1
205527,1,8
205527,1,3
205527,1,4
205528,1,4
205528,1,4
205528,1,1
205528,1,1
205529,1,6
205529,1,1
205529,1,6
205530,1,4
205530,1,3
205530,1,10
205531,1,2
205531,1,1
205531,1,1
205531,1,6
205531,1,1
205532,1,2
205532,1,2
205532,1,6
205532,1,2
205533,1,1
205533,1,3
205533,1,1
205533,1,6
205534,1,2
205534,1,3
205534,1,1
205534,1,1
205534,1,1
205535,1,7
205535,1,1
205535,1,3
205535,1,3
205536,1,3
205536,1,4
205536,1,2
205536,1,2
205537,1,3
205537,1,5
205537,1,1
205537,1,1
205537,1,2
205538,1,1
205538,1,2
205538,1,3
205538,1,3
205538,1,1
205539,1,6
205539,1,3
205539,1,2
205539,1,4
205540,1,4
205540,1,2
205540,1,3
205540,1,2
205541,1,1
205541,1,3
205541,1,3
205541,1,1
205541,1,5
205542,1,1
205542,1,1
205542,1,6
205542,1,1
205543,1,2
205543,1,1
209931,1,6
209931,1,2
209932,1,6
209933,1,1
209933,1,1
209933,1,1
209934,1,2
209934,1,3
209934,1,1
209935,1,1
209935,1,1
209935,1,1
209936,1,10
209936,1,1
209936,1,1
209937,1,3
209937,1,2
209937,1,3
209938,1,2
209938,1,1
209938,1,2
209939,1,4
209939,1,1
209939,1,4
209940,1,1
214257,1,1
218632,1,4
222970,1,2
227391,1,2
227391,1,1
227392,1,4
227392,1,2
227393,1,6
227393,1,1
227393,1,3
227393,1,1
227394,1,3
227394,1,3
227395,1,8
227395,1,1
227396,1,1
227396,1,2
227397,1,3
227397,1,1
227397,1,1
231724,1,5
231724,1,3
231725,1,3
231725,1,1
231726,1,3
231726,1,2
231727,1,2
231728,1,5
231728,1,2
231729,1,1
231729,1,2
231730,1,2
231730,1,2
231731,1,2
231731,1,1
231732,1,3
231732,1,1
231732,1,1
236061,1,1
240450,1,3
244822,1,2
249178,1,3
253566,1,1
253566,1,1
253567,1,2
253567,1,6
253567,1,2
253568,1,2
253568,1,2
253568,1,1
253569,1,2
253569,1,1
253569,1,3
253570,1,1
253570,1,1
