"timeMillisSpent","score"
5,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
4300,"0hard/-1medium/-408soft"
8750,"0hard/-1medium/-400soft"
13049,"0hard/-1medium/-398soft"
17463,"0hard/-1medium/-398soft"
22002,"0hard/-1medium/-367soft"
22003,"-1hard/-1medium/-2147483647soft"
22003,"-1hard/-1medium/-2147483647soft"
22003,"-1hard/-1medium/-2147483647soft"
22004,"-1hard/-1medium/-2147483647soft"
22004,"-1hard/0medium/-2147483647soft"
22004,"-1hard/0medium/-2147483647soft"
22004,"-1hard/0medium/-2147483647soft"
22005,"-1hard/0medium/-2147483647soft"
22005,"-1hard/0medium/-2147483647soft"
22005,"-1hard/-1medium/-2147483647soft"
22006,"-1hard/-1medium/-2147483647soft"
22006,"-1hard/0medium/-2147483647soft"
22006,"-1hard/-1medium/-2147483647soft"
22007,"-1hard/-1medium/-2147483647soft"
22007,"-1hard/-1medium/-2147483647soft"
22008,"-1hard/-1medium/-2147483647soft"
22008,"-1hard/-1medium/-2147483647soft"
22008,"-1hard/-1medium/-2147483647soft"
22008,"-1hard/-1medium/-2147483647soft"
22009,"-1hard/-1medium/-2147483647soft"
22009,"-1hard/-1medium/-2147483647soft"
22009,"-1hard/-1medium/-2147483647soft"
22010,"-1hard/-1medium/-2147483647soft"
22010,"-1hard/-1medium/-2147483647soft"
22010,"-1hard/-1medium/-2147483647soft"
22010,"-1hard/-1medium/-2147483647soft"
22011,"-1hard/-1medium/-2147483647soft"
22011,"-1hard/-1medium/-2147483647soft"
22011,"-1hard/-1medium/-2147483647soft"
22011,"-1hard/-1medium/-2147483647soft"
22011,"-1hard/-1medium/-2147483647soft"
22012,"-1hard/-1medium/-2147483647soft"
22012,"-1hard/-1medium/-2147483647soft"
22012,"-1hard/-1medium/-2147483647soft"
22012,"-1hard/-1medium/-2147483647soft"
22012,"-1hard/-1medium/-2147483647soft"
22013,"-1hard/-1medium/-2147483647soft"
22013,"-1hard/-1medium/-2147483647soft"
22013,"-1hard/-1medium/-2147483647soft"
22014,"-1hard/-1medium/-2147483647soft"
22014,"-1hard/-1medium/-2147483647soft"
22014,"-1hard/0medium/-2147483647soft"
22014,"-1hard/0medium/-2147483647soft"
22014,"-1hard/-1medium/-2147483647soft"
22015,"-1hard/-1medium/-2147483647soft"
22015,"-1hard/-1medium/-2147483647soft"
22015,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22016,"-1hard/-1medium/-2147483647soft"
22017,"-1hard/-1medium/-2147483647soft"
22017,"-1hard/-1medium/-2147483647soft"
22017,"-1hard/-1medium/-2147483647soft"
22017,"-1hard/-1medium/-2147483647soft"
22018,"-1hard/-1medium/-2147483647soft"
22018,"-1hard/-1medium/-2147483647soft"
22018,"-1hard/-1medium/-2147483647soft"
22018,"-1hard/-1medium/-2147483647soft"
22018,"-1hard/-1medium/-2147483647soft"
22019,"-1hard/-1medium/-2147483647soft"
22019,"-1hard/-1medium/-2147483647soft"
22019,"-1hard/-1medium/-2147483647soft"
22019,"-1hard/-1medium/-2147483647soft"
22020,"-1hard/-1medium/-2147483647soft"
22020,"-1hard/-1medium/-2147483647soft"
22020,"-1hard/-1medium/-2147483647soft"
22020,"-1hard/-1medium/-2147483647soft"
22021,"-1hard/-1medium/-2147483647soft"
22021,"-1hard/-1medium/-2147483647soft"
22021,"-1hard/-1medium/-2147483647soft"
22021,"-1hard/-1medium/-2147483647soft"
22021,"-1hard/-1medium/-2147483647soft"
22022,"-1hard/-1medium/-2147483647soft"
22022,"-1hard/-1medium/-2147483647soft"
22022,"-1hard/-1medium/-2147483647soft"
22022,"-1hard/-1medium/-2147483647soft"
22022,"-1hard/-1medium/-2147483647soft"
22023,"-1hard/-1medium/-2147483647soft"
22023,"-1hard/-1medium/-2147483647soft"
22023,"-1hard/-1medium/-2147483647soft"
22023,"-1hard/-1medium/-2147483647soft"
22024,"-1hard/-1medium/-2147483647soft"
22024,"-1hard/-1medium/-2147483647soft"
22024,"-1hard/-1medium/-2147483647soft"
22024,"-1hard/-1medium/-2147483647soft"
22025,"-1hard/-1medium/-2147483647soft"
22025,"-1hard/-1medium/-2147483647soft"
22025,"-1hard/-1medium/-2147483647soft"
22025,"-1hard/-1medium/-2147483647soft"
22026,"-1hard/-1medium/-2147483647soft"
22026,"-1hard/-1medium/-2147483647soft"
22026,"-1hard/-1medium/-2147483647soft"
22026,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22027,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
22028,"-1hard/-1medium/-2147483647soft"
