"timeMillisSpent","usedMemory","maxMemory"
4679,8999368,1834483712
9057,9208472,1834483712
9058,9208472,1834483712
13473,9551944,1834483712
17772,9731592,1834483712
22174,9907352,1834483712
26736,10250688,1834483712
31129,10434640,1834483712
35679,10605184,1834483712
40225,10948672,1834483712
44607,11128152,1834483712
48809,11471800,1834483712
53211,11696792,1834483712
57665,11864632,1834483712
61928,12040392,1834483712
66340,12384168,1834483712
70850,12563648,1834483712
75390,12732176,1834483712
79722,13079264,1834483712
84282,13249808,1834483712
88631,13634160,1834483712
92950,13867376,1834483712
97308,14084160,1834483712
101694,14259920,1834483712
106023,14435680,1834483712
106024,14435680,1834483712
110508,25375400,1834483712
110509,25543368,1834483712
115115,28399608,1834483712
119545,28735056,1834483712
123847,28968784,1834483712
128388,29148264,1834483712
128388,29148264,1834483712
132748,29340440,1834483712
137012,29708400,1834483712
141622,29933392,1834483712
141622,29933392,1834483712
146051,30103936,1834483712
146051,30103936,1834483712
150474,31322344,1834483712
154789,31547336,1834483712
159211,31781064,1834483712
163528,32006056,1834483712
167868,32206424,1834483712
172437,32376968,1834483712
176842,32552728,1834483712
181133,32945296,1834483712
185414,33170288,1834483712
189695,33357976,1834483712
194280,33528520,1834483712
198474,33871872,1834483712
202816,34051592,1834483712
207360,34227680,1834483712
211702,34562880,1834483712
216275,34733424,1834483712
216275,34733424,1834483712
220821,35281232,1834483712
220823,35281232,1834483712
225157,36129936,1834483712
229490,36286480,1834483712
229495,4468688,1834483712
233735,4907256,1834483712
237911,5250712,1834483712
237912,5250712,1834483712
242127,5905264,1834483712
242128,5905264,1834483712
246513,7217664,1834483712
250928,7217664,1834483712
255250,7552928,1834483712
259480,7888192,1834483712
263868,7888192,1834483712
268250,8215288,1834483712
272559,8562720,1834483712
281413,8906224,1834483712
281415,8906224,1834483712
285960,9564464,1834483712
290475,9899728,1834483712
290475,9899728,1834483712
294741,10226800,1834483712
299071,10562064,1834483712
299071,10562064,1834483712
303499,11224424,1834483712
307893,11608920,1834483712
312429,11608920,1834483712
316829,11936392,1834483712
321199,12271656,1834483712
325622,12615128,1834483712
329907,12615128,1834483712
334167,12950456,1834483712
334168,12950456,1834483712
338808,13608568,1834483712
343006,13624984,1834483712
347413,13952440,1834483712
351716,14291664,1834483712
356241,14618744,1834483712
360561,14618744,1834483712
364955,14954008,1834483712
369360,15289272,1834483712
373923,15289272,1834483712
378293,15616360,1834483712
382635,15951624,1834483712
387165,16286888,1834483712
391646,16286888,1834483712
396082,16614360,1834483712
400493,16945376,1834483712
405076,17272456,1834483712
409397,17272456,1834483712
413820,17599840,1834483712
417949,17943312,1834483712
422131,17943312,1834483712
426486,18270488,1834483712
430752,18630360,1834483712
434966,18630360,1834483712
439403,18960408,1834483712
443686,19295672,1834483712
448184,19295672,1834483712
452393,19630936,1834483712
461273,19982600,1834483712
465487,20317928,1834483712
474093,20653192,1834483712
478469,20980296,1834483712
482852,21327488,1834483712
487169,21327488,1834483712
491485,21654800,1834483712
491486,21654800,1834483712
495873,27222328,1834483712
500208,27555352,1834483712
500209,27555352,1834483712
504851,27899352,1834483712
509363,27899352,1834483712
513934,28226432,1834483712
518244,28561696,1834483712
522621,28896960,1834483712
527009,28896960,1834483712
531237,29240760,1834483712
535539,29576024,1834483712
540040,29576024,1834483712
544426,29903776,1834483712
548930,30272384,1834483712
553426,30272384,1834483712
557831,30599688,1834483712
562349,30932712,1834483712
566711,30932712,1834483712
571295,31263880,1834483712
575841,31599488,1834483712
580106,31968096,1834483712
584385,31968096,1834483712
588651,32295560,1834483712
593221,32639560,1834483712
593222,32639560,1834483712
597453,33633136,1834483712
601864,33633136,1834483712
